Target,Model,AUC,AUC_ROC,BEDROC,EF0.1,EF0.5,EF1,EF5,NEF0.1,NEF0.5,NEF1,NEF5,Source,Notes
11betahsd1,Autodock Vina,,0.567,0.088,,,,,,0,0,1.379,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
17betahsd1,Autodock Vina,,0.58,0.146,,,,,,0,0,5.735,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
a2a,Autodock Vina,,0.671,0.018,,,,,,0,0,3.032,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
ace,Autodock Vina,,0.327,0.038,,,,,,0,0,1.111,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
ace2,Autodock Vina,,0.535,0.148,,,,,,0,4.13,1.709,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
ache,Autodock Vina,,0.82,0.332,,,,,,19.708,11.825,9.854,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
adam17,Autodock Vina,,0.439,0.186,,,,,,12.472,7.483,1.627,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
adrb2,Autodock Vina,,0.717,0.008,,,,,,0,0,2.381,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
akt1,Autodock Vina,,0.475,0.001,,,,,,0,0,0,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
alr2,Autodock Vina,,0.813,0.005,,,,,,0,0,0,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
ar,Autodock Vina,,0.672,0.106,,,,,,0,0,3.176,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
aurka,Autodock Vina,,0.651,0.175,,,,,,0,6.214,2.762,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
aurkb,Autodock Vina,,0.796,0.337,,,,,,11.244,11.244,5.19,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
bcl2,Autodock Vina,,0.534,0.179,,,,,,0,8.247,3.608,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
braf,Autodock Vina,,0.716,0.278,,,,,,13.321,6.661,2.805,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
catl,Autodock Vina,,0.708,0.014,,,,,,0,0,1.529,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
cdk2,Autodock Vina,,0.574,0,,,,,,0,0,0,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
