target,actives,total
aa2ar,482,32032
abl1,182,10932
ace,282,17182
aces,453,26703
ada,93,5543
ada17,532,36432
adrb1,247,16097
adrb2,231,15231
akt1,293,16743
akt2,117,7017
aldr,159,9159
ampc,48,2898
andr,269,14619
aofb,122,7022
bace1,283,18383
braf,152,10102
cah2,492,31664
casp3,199,10899
cdk2,474,28324
comt,41,3891
cp2c9,120,7570
cp3a4,170,11970
csf1r,166,12316
cxcr4,40,3446
def,102,5802
dhi1,330,19680
dpp4,533,41483
drd3,480,34530
dyr,231,17431
egfr,542,35592
esr1,383,21068
esr2,367,20566
fa10,537,28862
fa7,114,6364
fabp4,47,2797
fak1,100,5450
fgfr1,139,8839
fkb1a,111,5911
fnta,592,52092
fpps,85,8935
gcr,258,15258
glcm,54,3854
gria2,158,12003
grik1,101,6651
hdac2,185,10485
hdac8,170,10620
hivint,100,6750
hivpr,536,36286
hivrt,338,19229
hmdh,170,8920
hs90a,88,4938
hxk4,92,4792
igf1r,148,9448
inha,43,2343
ital,138,8638
jak2,107,6607
kif11,116,6966
kit,166,10616
kith,57,2907
kpcb,135,8835
lck,420,27820
lkha4,171,9621
mapk2,101,6251
mcr,94,5244
met,166,11416
mk01,79,4629
mk10,104,6704
mk14,578,36428
mmp13,572,37772
mp2k1,121,8271
nos1,100,8150
nram,98,6298
pa2ga,99,5249
parp1,508,30558
pde5a,398,27948
pgh1,195,10995
pgh2,435,23585
plk1,107,6907
pnph,103,7053
ppara,373,19772
ppard,240,12490
pparg,484,25784
prgr,293,15943
ptn1,130,7380
pur2,50,2750
pygm,77,4027
pyrd,111,6561
reni,104,7062
rock1,100,6400
rxra,131,7081
sahh,63,3513
src,524,35024
tgfr1,133,8633
thb,103,7553
thrb,461,27465
try1,449,26429
tryb1,148,7798
tysy,109,6859
urok,162,10012
vgfr2,409,25359
wee1,102,6252
xiap,100,5250
