Target,Model,ROCE1,EF1,NEF1,AUC_ROC,AUC,BEDROC,Source,Notes
fabp4,Scardino et al.(proprietary)*,,,41,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
hivrt,Scardino et al.(proprietary)*,,,17,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
dyr,Scardino et al.(proprietary)*,,,25.8,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
aldr,Scardino et al.(proprietary)*,,,36,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
lkha4,Scardino et al.(proprietary)*,,,14.7,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
ptn1,Scardino et al.(proprietary)*,,,24,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
pyrd,Scardino et al.(proprietary)*,,,34.7,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
reni,Scardino et al.(proprietary)*,,,55.6,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
hdac2,Scardino et al.(proprietary)*,,,27.7,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
hs90a,Scardino et al.(proprietary)*,,,15.4,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
abl1,Scardino et al.(proprietary)*,,,26.4,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
gria2,Scardino et al.(proprietary)*,,,29,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
esr1,Scardino et al.(proprietary)*,,,32.8,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
dhi1,Scardino et al.(proprietary)*,,,9,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
pgh1,Scardino et al.(proprietary)*,,,5.8,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
cdk2,Scardino et al.(proprietary)*,,,19,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
ace,Scardino et al.(proprietary)*,,,23,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
fa7,Scardino et al.(proprietary)*,,,34.3,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
kpcb,Scardino et al.(proprietary)*,,,54,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
igf1r,Scardino et al.(proprietary)*,,,39,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
hxk4,Scardino et al.(proprietary)*,,,15,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
prgr,Scardino et al.(proprietary)*,,,17,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
nram,Scardino et al.(proprietary)*,,,14,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
kith,Scardino et al.(proprietary)*,,,20,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
ital,Scardino et al.(proprietary)*,,,11.6,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
urok,Scardino et al.(proprietary)*,,,57,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
andr,Scardino et al.(proprietary)*,,,14,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
fabp4,Scardino et al.(free)*,,,27,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e,Uses NEF
