Target,Model,AUC_ROC,BEDROC,EF0.1,EF0.5,EF1,EF5,NEF0.1,NEF0.5,NEF1,NEF5,REF0.1,REF0.5,REF1,REF5,Source,Notes
fen1,GlideSP†(3/15),0.584,0.038,,,,,0,2.17,2.17,4.13,,,,,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,Not explictly said if NEF or EF
fen1,IGN(DUD-E)†(3/15),0.668,0.088,,,,,21.683,13.03,8.69,4.13,,,,,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,Not explictly said if NEF or EF
fen1,IGN(target-specific)†(3/15),0.882,0.295,,,,,119.255,41.29,30.424,10.651,,,,,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,Not explictly said if NEF or EF
fen1,RF-score-vs(target-specific)†(3/15),0.713,0.154,,,,,65.048,26.078,14.126,5.217,,,,,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,Not explictly said if NEF or EF
kat2a,GlideSP†(3/15),0.493,0.003,,,,,0,0,0,0.83,,,,,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,Not explictly said if NEF or EF
kat2a,IGN(DUD-E)†(3/15),0.61,0.076,,,,,41.196,12.47,6.24,2.91,,,,,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,Not explictly said if NEF or EF
kat2a,IGN(target-specific)†(3/15),0.504,0.03,,,,,0,4.157,4.162,1.666,,,,,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,Not explictly said if NEF or EF
kat2a,RF-score-vs(target-specific)†(3/15),0.511,0.013,,,,,0,0,2.081,1.25,,,,,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,Not explictly said if NEF or EF
pkm2,GlideSP†(3/15),0.519,0.009,,,,,0,0,0,0.97,,,,,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,Not explictly said if NEF or EF
pkm2,IGN(DUD-E)†(3/15),0.528,0.028,,,,,0,1.661,0.832,1.833,,,,,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,Not explictly said if NEF or EF
pkm2,IGN(target-specific)†(3/15),0.701,0.044,,,,,0,3.322,2.496,3.499,,,,,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,Not explictly said if NEF or EF
pkm2,RF-score-vs(target-specific)†(3/15),0.61,0.026,,,,,8.304,1.661,1.664,1.833,,,,,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,Not explictly said if NEF or EF
fen1,EHIGN†(7/15)‡,,,,,,,154.57,75.41,52.18,14.22,,,,,https://ieeexplore.ieee.org/document/10530021,Uses NEF
kat2a,EHIGN†(7/15)‡,,,,,,,41.47,16.67,16.67,4.58,,,,,https://ieeexplore.ieee.org/document/10530021,Uses NEF
pkm2,EHIGN†(7/15)‡,,,,,,,21.78,7.33,8.08,4.56,,,,,https://ieeexplore.ieee.org/document/10530021,Uses NEF
aldh1,EHIGN†(7/15)‡,,,,,,,14.99,12.14,9.9,5.49,,,,,https://ieeexplore.ieee.org/document/10530021,Uses NEF
gba,EHIGN†(7/15)‡,,,,,,,96.87,38.96,26.82,7.8,,,,,https://ieeexplore.ieee.org/document/10530021,Uses NEF
mapk1,EHIGN†(7/15)‡,,,,,,,37.96,12.98,9.08,3.37,,,,,https://ieeexplore.ieee.org/document/10530021,Uses NEF
vdr,EHIGN†(7/15)‡,,,,,,,38.7,20.77,18.82,7.01,,,,,https://ieeexplore.ieee.org/document/10530021,Uses NEF
adrb2,GenScore(ft_0.5),0.559,0.229,,,,,,47.04,23.53,4.71,,,,,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
aldh1,GenScore(ft_0.5),0.571,0.085,,,,,,1.73,1.67,1.56,,,,,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
esr1a,GenScore(ft_0.5),0.634,0.152,,,,,,30.75,15.37,3.07,,,,,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
esr1t,GenScore(ft_0.5),0.61,0.065,,,,,,3.81,2.91,1.76,,,,,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
fen1,GenScore(ft_0.5),0.587,0.067,,,,,,7.05,4.06,3.79,,,,,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
gba,GenScore(ft_0.5),0.631,0.022,,,,,,2.41,1.2,2.17,,,,,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
idh1,GenScore(ft_0.5),0.688,0.08,,,,,,10.25,7.69,4.1,,,,,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
kat2a,GenScore(ft_0.5),0.351,0.011,,,,,,2.06,1.03,0.41,,,,,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
mapk1,GenScore(ft_0.5),0.641,0.061,,,,,,6.49,4.87,2.6,,,,,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
mtorc1,GenScore(ft_0.5),0.499,0.002,,,,,,0,0,0.41,,,,,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,Uses non-normalized EF
