Target,Model,Percentile,Factor_Type,EF_lit,NEF_lit,EF_calc,NEF_calc,n,N,Ns,ns,PM,ROCE,CCR,REF,MCC,CKC,AUC_ROC,BEDROC
11betahsd1,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.567,0.088
11betahsd1,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.567,0.088
11betahsd1,Autodock Vina,5.0,NEF,,1.379,4.839,1.5,40,1240,62,3,0.604,1.525,0.513,7.5,0.021,0.02,0.567,0.088
17betahsd1,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.58,0.146
17betahsd1,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.58,0.146
17betahsd1,Autodock Vina,5.0,NEF,,5.735,17.742,5.5,40,1240,62,11,0.866,6.471,0.616,27.5,0.188,0.184,0.58,0.146
a2a,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.671,0.018
a2a,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.671,0.018
a2a,Autodock Vina,5.0,NEF,,3.032,9.677,3.0,40,1240,62,6,0.763,3.214,0.552,15.0,0.084,0.082,0.671,0.018
ace,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.327,0.038
ace,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.327,0.038
ace,Autodock Vina,5.0,NEF,,1.111,3.226,1.0,40,1240,62,2,0.5,1.0,0.5,5.0,0.0,0.0,0.327,0.038
ace2,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.535,0.148
ace2,Autodock Vina,1.0,NEF,,4.13,15.385,4.769,40,1240,13,2,0.845,5.455,0.52,15.385,0.071,0.061,0.535,0.148
ace2,Autodock Vina,5.0,NEF,,1.709,4.839,1.5,40,1240,62,3,0.604,1.525,0.513,7.5,0.021,0.02,0.535,0.148
ache,Autodock Vina,0.5,NEF,,19.708,57.143,17.714,40,1240,7,4,0.976,40.0,0.549,57.143,0.23,0.162,0.82,0.332
ache,Autodock Vina,1.0,NEF,,11.825,38.462,11.923,40,1240,13,5,0.949,18.75,0.559,38.462,0.205,0.176,0.82,0.332
ache,Autodock Vina,5.0,NEF,,9.854,32.258,10.0,40,1240,62,20,0.935,14.286,0.732,50.0,0.377,0.367,0.82,0.332
adam17,Autodock Vina,0.5,NEF,,12.472,42.857,13.286,40,1240,7,3,0.957,22.5,0.536,42.857,0.169,0.119,0.439,0.186
adam17,Autodock Vina,1.0,NEF,,7.483,23.077,7.154,40,1240,13,3,0.9,9.0,0.533,23.077,0.116,0.099,0.439,0.186
adam17,Autodock Vina,5.0,NEF,,1.627,4.839,1.5,40,1240,62,3,0.604,1.525,0.513,7.5,0.021,0.02,0.439,0.186
