Target,Model,Percentile,Factor_Type,EF_lit,NEF_lit,EF_calc,NEF_calc,n,N,Ns,ns,PM,ROCE,CCR,REF,MCC,CKC,AUC_ROC,BEDROC
fabp4,Scardino et al.(proprietary)*,1.0,NEF,,41.0,67.857,40.382,47,2797,28,19,0.992,123.522,0.7,67.857,0.518,0.5,,
hivrt,Scardino et al.(proprietary)*,1.0,NEF,,17.0,30.052,17.097,338,19229,193,58,0.96,24.012,0.582,30.052,0.217,0.208,,
dyr,Scardino et al.(proprietary)*,1.0,NEF,,25.8,34.286,25.872,231,17431,175,60,0.975,38.848,0.627,34.286,0.29,0.287,,
aldr,Scardino et al.(proprietary)*,1.0,NEF,,36.0,61.957,35.689,159,9159,92,57,0.989,92.183,0.677,61.957,0.464,0.447,,
lkha4,Scardino et al.(proprietary)*,1.0,NEF,,14.7,25.773,14.501,171,9621,97,25,0.95,19.189,0.569,25.773,0.183,0.176,,
ptn1,Scardino et al.(proprietary)*,1.0,NEF,,24.0,41.892,23.782,130,7380,74,31,0.976,40.206,0.616,41.892,0.307,0.295,,
pyrd,Scardino et al.(proprietary)*,1.0,NEF,,34.7,59.091,34.928,111,6561,66,39,0.988,83.934,0.674,59.091,0.449,0.434,,
reni,Scardino et al.(proprietary)*,1.0,NEF,,55.6,81.69,55.471,104,7062,71,58,0.997,298.494,0.778,81.69,0.671,0.659,,
hdac2,Scardino et al.(proprietary)*,1.0,NEF,,27.7,48.571,27.528,185,10485,105,51,0.981,52.583,0.635,48.571,0.358,0.343,,
hs90a,Scardino et al.(proprietary)*,1.0,NEF,,15.4,28.0,15.712,88,4938,50,14,0.955,21.433,0.576,28.0,0.2,0.192,,
abl1,Scardino et al.(proprietary)*,1.0,NEF,,26.4,43.636,26.211,182,10932,110,48,0.979,45.728,0.629,43.636,0.331,0.32,,
gria2,Scardino et al.(proprietary)*,1.0,NEF,,29.0,38.017,28.881,158,12003,121,46,0.979,45.981,0.642,38.017,0.325,0.322,,
esr1,Scardino et al.(proprietary)*,1.0,NEF,,32.8,59.716,32.848,383,21068,211,126,0.988,80.059,0.662,59.716,0.436,0.417,,
dhi1,Scardino et al.(proprietary)*,1.0,NEF,,9.0,15.228,9.082,330,19680,197,30,0.913,10.533,0.541,15.228,0.106,0.103,,
pgh1,Scardino et al.(proprietary)*,1.0,NEF,,5.8,10.0,5.638,195,10995,110,11,0.86,6.154,0.524,10.0,0.063,0.06,,
cdk2,Scardino et al.(proprietary)*,1.0,NEF,,19.0,31.69,18.937,474,28324,284,90,0.965,27.258,0.591,31.69,0.235,0.228,,
