Target,Model,Percentile,Factor_Type,EF_lit,NEF_lit,EF_calc,NEF_calc,n,N,Ns,ns,PM,ROCE,CCR,REF,MCC,CKC,AUC_ROC,BEDROC
fen1,GlideSP†(3/15),0.1,NEF,,0.0,0.0,0.0,360,351078,352,0,0.0,0.0,0.499,0.0,-0.001,-0.001,0.584,0.038
fen1,GlideSP†(3/15),0.5,NEF,,2.17,0.228,2.221,360,351078,1756,4,0.69,2.224,0.503,1.111,0.003,0.002,0.584,0.038
fen1,GlideSP†(3/15),1.0,NEF,,2.17,0.228,2.222,360,351078,3511,8,0.69,2.225,0.506,2.222,0.004,0.002,0.584,0.038
fen1,GlideSP†(3/15),5.0,NEF,,4.13,0.422,4.111,360,351078,17554,74,0.805,4.124,0.578,20.556,0.023,0.006,0.584,0.038
fen1,IGN(DUD-E)†(3/15),0.1,NEF,,21.683,2.273,22.164,360,351078,352,8,0.958,22.656,0.511,2.273,0.021,0.021,0.668,0.088
fen1,IGN(DUD-E)†(3/15),0.5,NEF,,13.03,1.31,12.773,360,351078,1756,23,0.928,12.93,0.529,6.389,0.027,0.02,0.668,0.088
fen1,IGN(DUD-E)†(3/15),1.0,NEF,,8.69,0.883,8.611,360,351078,3511,31,0.897,8.678,0.538,8.611,0.025,0.014,0.668,0.088
fen1,IGN(DUD-E)†(3/15),5.0,NEF,,4.13,0.422,4.111,360,351078,17554,74,0.805,4.124,0.578,20.556,0.023,0.006,0.668,0.088
fen1,IGN(target-specific)†(3/15),0.1,NEF,,119.255,12.216,119.132,360,351078,352,43,0.993,135.571,0.559,12.216,0.12,0.12,0.882,0.295
fen1,IGN(target-specific)†(3/15),0.5,NEF,,41.29,4.214,41.097,360,351078,1756,74,0.977,42.861,0.6,20.556,0.091,0.068,0.882,0.295
fen1,IGN(target-specific)†(3/15),1.0,NEF,,30.424,3.133,30.554,360,351078,3511,110,0.969,31.51,0.648,30.556,0.095,0.055,0.882,0.295
fen1,IGN(target-specific)†(3/15),5.0,NEF,,10.651,1.094,10.667,360,351078,17554,192,0.915,10.774,0.742,53.333,0.071,0.019,0.882,0.295
fen1,RF-score-vs(target-specific)†(3/15),0.1,NEF,,65.048,6.534,63.722,360,351078,352,23,0.986,68.106,0.531,6.534,0.064,0.064,0.713,0.154
fen1,RF-score-vs(target-specific)†(3/15),0.5,NEF,,26.078,2.677,26.102,360,351078,1756,47,0.964,26.792,0.563,13.056,0.057,0.043,0.713,0.154
fen1,RF-score-vs(target-specific)†(3/15),1.0,NEF,,14.126,1.453,14.166,360,351078,3511,51,0.935,14.36,0.566,14.167,0.042,0.025,0.713,0.154
fen1,RF-score-vs(target-specific)†(3/15),5.0,NEF,,5.217,0.535,5.222,360,351078,17554,94,0.84,5.245,0.606,26.111,0.031,0.009,0.713,0.154
kat2a,GlideSP†(3/15),0.1,NEF,,0.0,0.0,0.0,194,342923,343,0,0.0,0.0,0.499,0.0,-0.001,-0.001,0.493,0.003
kat2a,GlideSP†(3/15),0.5,NEF,,0.0,0.0,0.0,194,342923,1715,0,0.0,0.0,0.497,0.0,-0.002,-0.001,0.493,0.003
kat2a,GlideSP†(3/15),1.0,NEF,,0.0,0.0,0.0,194,342923,3430,0,0.0,0.0,0.495,0.0,-0.002,-0.001,0.493,0.003
kat2a,GlideSP†(3/15),5.0,NEF,,0.83,0.047,0.825,194,342923,17147,8,0.452,0.825,0.496,4.124,-0.001,-0.0,0.493,0.003
kat2a,IGN(DUD-E)†(3/15),0.1,NEF,,41.196,2.332,41.228,194,342923,343,8,0.977,42.189,0.52,4.124,0.03,0.029,0.61,0.076
kat2a,IGN(DUD-E)†(3/15),0.5,NEF,,12.47,0.7,12.368,194,342923,1715,12,0.926,12.448,0.528,6.186,0.019,0.012,0.61,0.076
kat2a,IGN(DUD-E)†(3/15),1.0,NEF,,6.24,0.35,6.184,194,342923,3430,12,0.861,6.202,0.526,6.186,0.012,0.006,0.61,0.076
kat2a,IGN(DUD-E)†(3/15),5.0,NEF,,2.91,0.163,2.886,194,342923,17147,28,0.743,2.89,0.547,14.433,0.01,0.002,0.61,0.076
kat2a,IGN(target-specific)†(3/15),0.1,NEF,,0.0,0.0,0.0,194,342923,343,0,0.0,0.0,0.499,0.0,-0.001,-0.001,0.504,0.03
kat2a,IGN(target-specific)†(3/15),0.5,NEF,,4.157,0.233,4.123,194,342923,1715,4,0.805,4.13,0.508,2.062,0.005,0.003,0.504,0.03
kat2a,IGN(target-specific)†(3/15),1.0,NEF,,4.162,0.233,4.123,194,342923,3430,8,0.805,4.13,0.516,4.124,0.007,0.003,0.504,0.03
kat2a,IGN(target-specific)†(3/15),5.0,NEF,,1.666,0.093,1.649,194,342923,17147,16,0.623,1.65,0.516,8.247,0.004,0.001,0.504,0.03
kat2a,RF-score-vs(target-specific)†(3/15),0.1,NEF,,0.0,0.0,0.0,194,342923,343,0,0.0,0.0,0.499,0.0,-0.001,-0.001,0.511,0.013
kat2a,RF-score-vs(target-specific)†(3/15),0.5,NEF,,0.0,0.0,0.0,194,342923,1715,0,0.0,0.0,0.497,0.0,-0.002,-0.001,0.511,0.013
kat2a,RF-score-vs(target-specific)†(3/15),1.0,NEF,,2.081,0.117,2.061,194,342923,3430,4,0.673,2.063,0.505,2.062,0.003,0.001,0.511,0.013
kat2a,RF-score-vs(target-specific)†(3/15),5.0,NEF,,1.25,0.07,1.237,194,342923,17147,12,0.553,1.237,0.506,6.186,0.001,0.0,0.511,0.013
pkm2,GlideSP†(3/15),0.1,NEF,,0.0,0.0,0.0,546,245225,246,0,0.0,0.0,0.499,0.0,-0.001,-0.001,0.519,0.009
pkm2,GlideSP†(3/15),0.5,NEF,,0.0,0.0,0.0,546,245225,1227,0,0.0,0.0,0.497,0.0,-0.003,-0.003,0.519,0.009
pkm2,GlideSP†(3/15),1.0,NEF,,0.0,0.0,0.0,546,245225,2453,0,0.0,0.0,0.495,0.0,-0.005,-0.004,0.519,0.009
