Target,Model,Percentile,Factor_Type,EF_lit,NEF_lit,EF_calc,NEF_calc,n,N,Ns,ns,PM,ROCE,CCR,REF,MCC,CKC,AUC_ROC,BEDROC
11betahsd1,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.567,0.088
11betahsd1,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.567,0.088
11betahsd1,Autodock Vina,5.0,NEF,,1.379,4.448,1.379,40,1240,62,2.758,0.583,1.397,0.51,6.895,0.016,0.015,0.567,0.088
17betahsd1,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.58,0.146
17betahsd1,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.58,0.146
17betahsd1,Autodock Vina,5.0,NEF,,5.735,18.5,5.735,40,1240,62,11.47,0.872,6.81,0.622,28.675,0.198,0.193,0.58,0.146
a2a,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.671,0.018
a2a,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.671,0.018
a2a,Autodock Vina,5.0,NEF,,3.032,9.781,3.032,40,1240,62,6.064,0.765,3.252,0.552,15.16,0.085,0.083,0.671,0.018
ace,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.327,0.038
ace,Autodock Vina,1.0,NEF,,0.0,0.0,0.0,40,1240,13,0.0,0.0,0.0,0.495,0.0,-0.019,-0.016,0.327,0.038
ace,Autodock Vina,5.0,NEF,,1.111,3.584,1.111,40,1240,62,2.222,0.527,1.115,0.503,5.555,0.005,0.005,0.327,0.038
ace2,Autodock Vina,0.5,NEF,,0.0,0.0,0.0,40,1240,7,0.0,0.0,0.0,0.497,0.0,-0.014,-0.01,0.535,0.148
ace2,Autodock Vina,1.0,NEF,,4.13,13.323,4.13,40,1240,13,1.732,0.822,4.611,0.517,13.323,0.059,0.05,0.535,0.148
ace2,Autodock Vina,5.0,NEF,,1.709,5.513,1.709,40,1240,62,3.418,0.636,1.75,0.518,8.545,0.03,0.029,0.535,0.148
ache,Autodock Vina,0.5,NEF,,19.708,63.574,19.708,40,1240,7,4.45,0.981,52.359,0.555,63.574,0.257,0.182,0.82,0.332
ache,Autodock Vina,1.0,NEF,,11.825,38.145,11.825,40,1240,13,4.959,0.949,18.501,0.559,38.145,0.203,0.174,0.82,0.332
ache,Autodock Vina,5.0,NEF,,9.854,31.787,9.854,40,1240,62,19.708,0.933,13.98,0.729,49.27,0.371,0.361,0.82,0.332
adam17,Autodock Vina,0.5,NEF,,12.472,40.232,12.472,40,1240,7,2.816,0.953,20.194,0.533,40.232,0.158,0.111,0.439,0.186
