Target,Model,Percentile,Factor_Type,EF_lit,NEF_lit,EF_calc,NEF_calc,n,N,Ns,ns,PM,ROCE,CCR,REF,MCC,CKC,AUC_ROC,BEDROC
fabp4,Scardino et al.(proprietary)*,1.0,NEF,,41.0,68.895,41.0,47,2797,28,19.291,0.992,129.598,0.704,68.895,0.526,0.508,,
hivrt,Scardino et al.(proprietary)*,1.0,NEF,,17.0,29.882,17.0,338,19229,193,57.672,0.96,23.819,0.582,29.882,0.215,0.207,,
dyr,Scardino et al.(proprietary)*,1.0,NEF,,25.8,34.191,25.8,231,17431,175,59.834,0.975,38.685,0.626,34.191,0.289,0.287,,
aldr,Scardino et al.(proprietary)*,1.0,NEF,,36.0,62.496,36.0,159,9159,92,57.496,0.99,94.323,0.679,62.496,0.469,0.451,,
lkha4,Scardino et al.(proprietary)*,1.0,NEF,,14.7,26.127,14.7,171,9621,97,25.343,0.951,19.545,0.57,26.127,0.186,0.179,,
ptn1,Scardino et al.(proprietary)*,1.0,NEF,,24.0,42.276,24.0,130,7380,74,31.285,0.976,40.845,0.617,42.276,0.31,0.298,,
pyrd,Scardino et al.(proprietary)*,1.0,NEF,,34.7,58.706,34.7,111,6561,66,38.746,0.988,82.61,0.672,58.706,0.446,0.431,,
reni,Scardino et al.(proprietary)*,1.0,NEF,,55.6,81.88,55.6,104,7062,71,58.135,0.997,302.333,0.779,81.88,0.673,0.66,,
hdac2,Scardino et al.(proprietary)*,1.0,NEF,,27.7,48.875,27.7,185,10485,105,51.318,0.982,53.225,0.636,48.875,0.36,0.346,,
hs90a,Scardino et al.(proprietary)*,1.0,NEF,,15.4,27.444,15.4,88,4938,50,13.722,0.954,20.847,0.574,27.444,0.196,0.188,,
abl1,Scardino et al.(proprietary)*,1.0,NEF,,26.4,43.952,26.4,182,10932,110,48.347,0.979,46.318,0.63,43.952,0.333,0.323,,
gria2,Scardino et al.(proprietary)*,1.0,NEF,,29.0,38.174,29.0,158,12003,121,46.19,0.979,46.288,0.643,38.174,0.326,0.323,,
esr1,Scardino et al.(proprietary)*,1.0,NEF,,32.8,59.628,32.8,383,21068,211,125.815,0.988,79.767,0.662,59.628,0.435,0.416,,
dhi1,Scardino et al.(proprietary)*,1.0,NEF,,9.0,15.091,9.0,330,19680,197,29.73,0.912,10.422,0.541,15.091,0.105,0.102,,
pgh1,Scardino et al.(proprietary)*,1.0,NEF,,5.8,10.286,5.8,195,10995,110,11.315,0.864,6.35,0.524,10.286,0.065,0.062,,
cdk2,Scardino et al.(proprietary)*,1.0,NEF,,19.0,31.796,19.0,474,28324,284,90.302,0.965,27.392,0.592,31.796,0.236,0.229,,
ace,Scardino et al.(proprietary)*,1.0,NEF,,23.0,37.749,23.0,282,17182,172,64.928,0.973,36.341,0.612,37.749,0.286,0.277,,
fa7,Scardino et al.(proprietary)*,1.0,NEF,,34.3,61.442,34.3,114,6364,64,39.323,0.989,87.364,0.67,61.442,0.453,0.435,,
kpcb,Scardino et al.(proprietary)*,1.0,NEF,,54.0,82.513,54.0,135,8835,89,73.436,0.997,304.078,0.771,82.513,0.666,0.651,,
igf1r,Scardino et al.(proprietary)*,1.0,NEF,,39.0,61.092,39.0,148,9448,95,58.038,0.99,98.667,0.694,61.092,0.483,0.471,,
hxk4,Scardino et al.(proprietary)*,1.0,NEF,,15.0,28.798,15.0,92,4792,48,13.823,0.954,20.662,0.571,28.798,0.197,0.187,,
prgr,Scardino et al.(proprietary)*,1.0,NEF,,17.0,31.243,17.0,293,15943,160,49.988,0.96,24.27,0.582,31.243,0.22,0.21,,
nram,Scardino et al.(proprietary)*,1.0,NEF,,14.0,21.785,14.0,98,6298,63,13.724,0.946,17.621,0.566,21.785,0.164,0.16,,
kith,Scardino et al.(proprietary)*,1.0,NEF,,20.0,39.216,20.0,57,2907,30,11.765,0.97,32.258,0.6,39.216,0.274,0.26,,
ital,Scardino et al.(proprietary)*,1.0,NEF,,11.6,18.532,11.6,138,8638,87,16.123,0.933,14.011,0.554,18.532,0.136,0.133,,
urok,Scardino et al.(proprietary)*,1.0,NEF,,57.0,92.229,57.0,162,10012,101,93.152,0.999,721.658,0.787,92.229,0.725,0.705,,
