target,actives,total
bcl2,40,1240
jnk2,40,1240
tpa,40,1240
adrb2,40,1240
pparg,40,1240
ace2,40,1240
akt1,40,1240
mk2,40,1240
cyp2a6,40,1240
lck,40,1240
pygl-out,40,1240
ppara,40,1240
pi3kg,40,1240
sirt2,40,1240
pnp,40,1240
catl,40,1240
ctsk,40,1240
ts,40,1239
tie2,40,1240
jak3,40,1240
na,40,1240
braf,40,1240
cox1,40,1240
vegfr1,40,1240
thrombin,40,1240
hsp90,40,1240
parp-1,40,1240
pim-1,40,1240
cox2,40,1240
17betahsd1,40,1240
sars-hcov,39,1209
gr,40,1240
ace,40,1240
gba,40,1240
p38-alpha,40,1240
aurkb,40,1240
er-beta,40,1240
egfr,40,1240
tp,40,1240
mmp2,40,1240
pdk1,40,1240
upa,40,1240
dhfr,40,1240
igf1r,40,1240
aurka,40,1240
ache,40,1240
vegfr2,40,1240
erbb2,40,1240
ar,40,1240
prkcq,40,1240
rxr,40,1240
pr,40,1240
itk,40,1240
jnk3,40,1240
hmgr,40,1240
gsk3b,40,1240
11betahsd1,40,1240
pde5,40,1240
adam17,40,1240
fxa,40,1240
qpct,40,1240
pim-2,40,1240
fkbp1a,40,1240
hiv1pr,40,1240
hdac8,40,1240
hiv1rt,40,1240
ephb4,40,1240
cdk2,40,1240
src,40,1240
hdac2,40,1240
pde4b,40,1240
tk,40,1240
a2a,40,1240
mdm2,40,1240
alr2,40,1240
inha,40,1240
jnk1,40,1240
rock-1,40,1240
fgfr1,40,1240
kif11,40,1240
pygl-in,40,1240
