Target,Model,AUC,AUC_ROC,BEDROC,EF0.5,EF1,EF5,Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parp-1,KarmaDock Raw,,0.918293207,0.803994207,30.075,27.56875,13.53375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hsp90,KarmaDock Raw,,0.888022165,0.652235568,20.21666667,20.21666667,10.61375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ar,KarmaDock Raw,,0.886691542,0.934647031,16.075,16.075,10.046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyp2a6,KarmaDock Raw,,0.483468677,0.224956979,5.6375,7.516666667,1.503333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2a,KarmaDock Raw,,0.684785354,0.222535771,5.116666667,5.116666667,3.52295082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mdm2,KarmaDock Raw,,0.856936041,0.61690836,23.94,24.48409091,10.65127119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jak3,KarmaDock Raw,,0.950799481,0.767401663,23.94,24.48409091,12.17288136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ephb4,KarmaDock Raw,,0.99548552,0.969864417,25.29166667,27.82083333,19.22166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rxr,KarmaDock Raw,,0.941558089,0.725976875,12.0125,18.68611111,12.0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prkcq,KarmaDock Raw,,0.854345955,0.664467196,20.03333333,20.03333333,14.02333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lck,KarmaDock Raw,,0.903460877,0.790198979,25.0625,25.0625,13.53375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ace2,KarmaDock Raw,,0.453294412,0.015720878,0,0,1.523360656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdac2,KarmaDock Raw,,0.538692504,0.039810815,0,0,1.5175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
braf,KarmaDock Raw,,0.827777778,0.326382114,15.125,7.5625,6.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fkbp1a,KarmaDock Raw,,0.977661358,0.989955904,30.825,30.825,16.1704918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thrombin,KarmaDock Raw,,0.939995734,0.922445807,30.3,30.3,15.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jnk2,KarmaDock Raw,,0.600574205,0.466598129,29.3,18.64545455,4.546551724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kif11,KarmaDock Raw,,0.698396065,0.125497924,5.0375,5.0375,3.52625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
upa,KarmaDock Raw,,0.721128893,0.773943649,29.9,29.9,10.64237288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pygl-in,KarmaDock Raw,,0.739387584,0.129719002,5.133333333,2.566666667,4.544262295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
itk,KarmaDock Raw,,0.808517417,0.481834969,10.14166667,12.67708333,9.634583333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pim-1,KarmaDock Raw,,0.789520958,0.407134588,10.075,10.075,8.56375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hiv1rt,KarmaDock Raw,,0.640016992,0.044117846,0,0,1.52125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcl2,KarmaDock Raw,,0.821507197,0.49998863,20.35,17.80625,7.005737705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adrb2,KarmaDock Raw,,0.549572457,0.028858516,0,0,0.504824561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pde5,KarmaDock Raw,,0.785690236,0.273095173,15.35,7.675,5.032786885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pde4b,KarmaDock Raw,,0.912856544,0.596932152,20.53333333,15.4,13.63278689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ctsk,KarmaDock Raw,,0.487866109,0.199981221,0,5.145833333,5.06147541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pnp,KarmaDock Raw,,0.90906801,0.83257352,30.775,28.21041667,11.09918033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmp2,KarmaDock Raw,,0.414102024,0.021219809,0,0,0.502459016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rock-1,KarmaDock Raw,,0.869430163,0.616772501,15.0875,17.60208333,12.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cdk2,KarmaDock Raw,,0.924264706,0.678971098,23.92,24.46363636,10.64237288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catl,KarmaDock Raw,,0.69578793,0.41842072,10.275,17.98125,6.569262295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dhfr,KarmaDock Raw,,0.837584459,0.570291585,15.3,20.4,9.029508197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aurka,KarmaDock Raw,,0.993082835,0.9711938,30.275,27.75208333,18.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sirt2,KarmaDock Raw,,0.547921968,0.002852405,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pparg,KarmaDock Raw,,0.729386364,0.545847556,22.8,15.54545455,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
src,KarmaDock Raw,,0.852006832,0.744384673,30.275,22.70625,12.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gr,KarmaDock Raw,,0.645498732,0.229442395,10.19166667,7.64375,4.009836066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sars-hcov,KarmaDock Raw,,0.596330681,0.11284933,6.148717949,5.58974359,1.563233377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cox2,KarmaDock Raw,,0.645599022,0.09370694,5.3625,2.68125,1.532142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vegfr1,KarmaDock Raw,,0.807613636,0.452024748,17.1,12.95454545,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pi3kg,KarmaDock Raw,,0.849871904,0.499832938,20.18333333,12.61458333,9.587083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pdk1,KarmaDock Raw,,0.976670951,1.021374184,30.175,30.175,18.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erbb2,KarmaDock Raw,,0.938867017,0.831709755,23.66,26.88636364,14.53686441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tk,KarmaDock Raw,,0.765012563,0.452354857,15.425,15.425,9.103278689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ace,KarmaDock Raw,,0.855523013,0.496644003,20.58333333,20.58333333,6.073770492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17betahsd1,KarmaDock Raw,,0.507666386,0.022562224,0,0,0.502868852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
