target,actives,total
akt1,293,16743
fgfr1,139,8839
mp2k1,121,8271
nos1,100,8150
pgh1,195,10995
hivint,100,6750
prgr,293,15943
ital,138,8638
ptn1,130,7380
kith,57,2907
gcr,258,15258
casp3,199,10899
wee1,102,6252
urok,162,10012
plk1,107,6907
fnta,592,52092
dyr,231,17431
ppara,373,19772
aa2ar,482,32032
egfr,542,35592
hs90a,88,4938
mk10,104,6704
cah2,492,31664
ada,93,5543
mapk2,101,6251
akt2,117,7017
dpp4,533,41483
pnph,103,7053
fak1,100,5450
drd3,480,34530
hxk4,92,4792
met,166,11416
mk01,79,4629
bace1,283,18383
ace,282,17182
tryb1,148,7798
pgh2,435,23585
comt,41,3891
reni,104,7062
aofb,122,7022
hdac2,185,10485
kit,166,10616
dhi1,330,19680
thrb,461,27465
rxra,131,7081
def,102,5802
sahh,63,3513
mcr,94,5244
ampc,48,2898
igf1r,148,9448
pparg,484,25784
kpcb,135,8835
tysy,109,6859
abl1,182,10932
hdac8,170,10620
src,524,35024
pyrd,111,6561
vgfr2,409,25359
lck,420,27820
parp1,508,30558
fa7,114,6364
aldr,159,9159
hmdh,170,8920
andr,269,14619
jak2,107,6607
adrb1,247,16097
fabp4,47,2797
cxcr4,40,3446
aces,453,26703
grik1,101,6651
tgfr1,133,8633
cdk2,474,28324
pur2,50,2750
xiap,100,5250
pa2ga,99,5249
pde5a,398,27948
ada17,532,36432
csf1r,166,12316
esr1,383,21068
glcm,54,3854
lkha4,171,9621
kif11,116,6966
esr2,367,20566
ppard,240,12490
nram,98,6298
mk14,578,36428
mmp13,572,37772
try1,449,26429
hivpr,536,36286
fpps,85,8935
rock1,100,6400
fa10,537,28862
fkb1a,111,5911
gria2,158,12003
cp2c9,120,7570
thb,103,7553
pygm,77,4027
inha,43,2343
braf,152,10102
hivrt,338,19229
adrb2,231,15231
cp3a4,170,11970
