Target,Model,EF1,AUC_ROC,AUC,BEDROC,Source
fabp4,Scardino et al.(proprietary)*,41,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
hivrt,Scardino et al.(proprietary)*,17,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
dyr,Scardino et al.(proprietary)*,25.80,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
aldr,Scardino et al.(proprietary)*,36,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
lkha4,Scardino et al.(proprietary)*,14.70,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
ptn1,Scardino et al.(proprietary)*,24,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
pyrd,Scardino et al.(proprietary)*,34.70,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
reni,Scardino et al.(proprietary)*,55.60,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
hdac2,Scardino et al.(proprietary)*,27.70,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
hs90a,Scardino et al.(proprietary)*,15.40,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
abl1,Scardino et al.(proprietary)*,26.40,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
gria2,Scardino et al.(proprietary)*,29,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
esr1,Scardino et al.(proprietary)*,32.80,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
dhi1,Scardino et al.(proprietary)*,9,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
cox1,Scardino et al.(proprietary)*,5.80,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
cdk2,Scardino et al.(proprietary)*,19,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
ace,Scardino et al.(proprietary)*,23,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
fa7,Scardino et al.(proprietary)*,34.30,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
kpcb,Scardino et al.(proprietary)*,54,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
igf1r,Scardino et al.(proprietary)*,39,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
hxk4,Scardino et al.(proprietary)*,15,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
prgr,Scardino et al.(proprietary)*,17,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
nram,Scardino et al.(proprietary)*,14,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
kith,Scardino et al.(proprietary)*,20,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
lfa1,Scardino et al.(proprietary)*,11.60,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
urok,Scardino et al.(proprietary)*,57,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
andr,Scardino et al.(proprietary)*,14,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
fabp4,Scardino et al.(free)*,27,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
hivrt,Scardino et al.(free)*,5,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
dyr,Scardino et al.(free)*,14.50,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
aldr,Scardino et al.(free)*,24,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
lkha4,Scardino et al.(free)*,23.60,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
ptn1,Scardino et al.(free)*,30,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
pyrd,Scardino et al.(free)*,28.30,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
reni,Scardino et al.(free)*,12.50,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
hdac2,Scardino et al.(free)*,23.90,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
hs90a,Scardino et al.(free)*,0,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
abl1,Scardino et al.(free)*,13.40,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
gria2,Scardino et al.(free)*,24,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
esr1,Scardino et al.(free)*,20.40,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ra/d1ra05785e
