Target,Model,AUC_ROC,BEDROC,EF0.1,EF0.5,EF1,EF5,Source,,,,,,,,,,,,,,
fen1,GlideSP,0.584,0.038,0,2.17,2.17,4.13,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,
fen1,IGN(DUD-E),0.668,0.088,21.683,13.03,8.69,4.13,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,
fen1,IGN(target-specific),0.882,0.295,119.255,41.29,30.424,10.651,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,
fen1,RF-score-vs(target-specific),0.713,0.154,65.048,26.078,14.126,5.217,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,
kat2a,GlideSP,0.493,0.003,0,0,0,0.83,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,
kat2a,IGN(DUD-E),0.61,0.076,41.196,12.47,6.24,2.91,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,
kat2a,IGN(target-specific),0.504,0.03,0,4.157,4.162,1.666,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,
kat2a,RF-score-vs(target-specific),0.511,0.013,0,0,2.081,1.25,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,
pkm2,GlideSP,0.519,0.009,0,0,0,0.97,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,
pkm2,IGN(DUD-E),0.528,0.028,0,1.661,0.832,1.833,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,
pkm2,IGN(target-specific),0.701,0.044,0,3.322,2.496,3.499,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,
pkm2,RF-score-vs(target-specific),0.61,0.026,8.304,1.661,1.664,1.833,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,
fen1,EHIGN,,,154.57,75.41,52.18,14.22,https://ieeexplore.ieee.org/document/10530021,,,,,,,,,,,,,,
kat2a,EHIGN,,,41.47,16.67,16.67,4.58,https://ieeexplore.ieee.org/document/10530021,,,,,,,,,,,,,,
pkm2,EHIGN,,,21.78,7.33,8.08,4.56,https://ieeexplore.ieee.org/document/10530021,,,,,,,,,,,,,,
aldh1,EHIGN,,,14.99,12.14,9.9,5.49,https://ieeexplore.ieee.org/document/10530021,,,,,,,,,,,,,,
gba,EHIGN,,,96.87,38.96,26.82,7.8,https://ieeexplore.ieee.org/document/10530021,,,,,,,,,,,,,,
mapk1,EHIGN,,,37.96,12.98,9.08,3.37,https://ieeexplore.ieee.org/document/10530021,,,,,,,,,,,,,,
vdr,EHIGN,,,38.7,20.77,18.82,7.01,https://ieeexplore.ieee.org/document/10530021,,,,,,,,,,,,,,
adrb2,GenScore(ft_0.5),0.559 ,0.229 ,,47.04 ,23.53 ,4.71 ,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,,,,,,,,,,,,,,
aldh1,GenScore(ft_0.5),0.571 ,0.085 ,,1.73 ,1.67 ,1.56 ,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,,,,,,,,,,,,,,
esr_ago,GenScore(ft_0.5),0.634 ,0.152 ,,30.75 ,15.37 ,3.07 ,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,,,,,,,,,,,,,,
esr_antago,GenScore(ft_0.5),0.610 ,0.065 ,,3.81 ,2.91 ,1.76 ,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,,,,,,,,,,,,,,
fen1,GenScore(ft_0.5),0.587 ,0.067 ,,7.05 ,4.06 ,3.79 ,https://pubs.rsc.org/en/content/articlelanding/2023/SC/D3SC02044D,,,,,,,,,,,,,,
