Target,Model,Percentile,EF,n,N,Ns,ns,PM,ROCE,CCR,REF,MCC,CKC,RIE,AUC_ROC,BEDROC
lck,KarmaDock Raw,0.5,25.062,416,27305,137,52.311,0.976,39.926,0.561,38.183,0.213,0.183,25.062,0.903,0.79
lck,KarmaDock Raw,1.0,25.062,416,27305,274,104.623,0.976,39.926,0.623,38.183,0.301,0.295,25.062,0.903,0.79
lck,KarmaDock Raw,5.0,13.534,416,27305,1366,281.657,0.944,16.789,0.818,67.706,0.358,0.3,13.534,0.903,0.79
hdac2,KarmaDock Raw,0.5,0.0,180,10352,52,0.0,0.0,0.0,0.497,0.0,-0.009,-0.008,0.0,0.539,0.04
hdac2,KarmaDock Raw,1.0,0.0,180,10352,104,0.0,0.0,0.0,0.495,0.0,-0.013,-0.013,0.0,0.539,0.04
hdac2,KarmaDock Raw,5.0,1.518,180,10352,518,13.668,0.605,1.532,0.513,7.593,0.016,0.014,1.518,0.539,0.04
braf,KarmaDock Raw,0.5,15.125,150,9887,50,11.473,0.951,19.331,0.536,22.947,0.125,0.108,15.125,0.828,0.326
braf,KarmaDock Raw,1.0,7.562,150,9887,99,11.359,0.894,8.413,0.533,11.473,0.082,0.08,7.562,0.828,0.326
braf,KarmaDock Raw,5.0,6.05,150,9887,495,45.435,0.868,6.56,0.628,30.29,0.144,0.12,6.05,0.828,0.326
kif11,KarmaDock Raw,0.5,5.038,116,6837,35,2.991,0.844,5.415,0.511,8.547,0.038,0.032,5.037,0.698,0.125
kif11,KarmaDock Raw,1.0,5.038,116,6837,69,5.897,0.844,5.415,0.521,8.547,0.054,0.052,5.037,0.698,0.125
kif11,KarmaDock Raw,5.0,3.526,116,6837,342,20.461,0.787,3.687,0.564,17.639,0.076,0.066,3.526,0.698,0.125
adrb2,KarmaDock Raw,0.5,0.0,231,14649,74,0.0,0.0,0.0,0.497,0.0,-0.009,-0.008,0.0,0.55,0.029
adrb2,KarmaDock Raw,1.0,0.0,231,14649,147,0.0,0.0,0.0,0.495,0.0,-0.013,-0.012,0.0,0.55,0.029
adrb2,KarmaDock Raw,5.0,0.505,231,14649,733,5.835,0.334,0.501,0.487,2.526,-0.014,-0.012,0.505,0.55,0.029
cdk2,KarmaDock Raw,0.5,23.92,471,27755,139,56.423,0.975,39.581,0.558,40.592,0.214,0.179,23.92,0.924,0.679
cdk2,KarmaDock Raw,1.0,24.464,471,27755,278,115.411,0.976,41.119,0.62,41.515,0.31,0.299,24.464,0.924,0.679
cdk2,KarmaDock Raw,5.0,10.642,471,27755,1388,250.673,0.927,12.768,0.745,53.221,0.291,0.251,10.642,0.924,0.679
pparg,KarmaDock Raw,0.5,22.8,482,24949,125,55.06,0.976,39.962,0.556,44.048,0.217,0.175,22.8,0.729,0.546
pparg,KarmaDock Raw,1.0,15.545,482,24949,250,75.082,0.956,21.789,0.574,30.033,0.205,0.195,15.545,0.729,0.546
pparg,KarmaDock Raw,5.0,9.0,482,24949,1248,216.996,0.914,10.684,0.704,45.02,0.258,0.229,9.0,0.729,0.546
src,KarmaDock Raw,0.5,30.275,519,34158,171,78.66,0.982,55.213,0.574,46.0,0.258,0.222,30.275,0.852,0.744
src,KarmaDock Raw,1.0,22.706,519,34158,342,117.99,0.972,34.139,0.61,34.5,0.271,0.265,22.706,0.852,0.744
src,KarmaDock Raw,5.0,12.11,519,34158,1708,314.273,0.936,14.615,0.782,60.554,0.317,0.265,12.11,0.852,0.744
ace,KarmaDock Raw,0.5,20.583,278,17051,86,28.861,0.968,30.475,0.55,33.559,0.18,0.152,20.583,0.856,0.497
ace,KarmaDock Raw,1.0,20.583,278,17051,171,57.386,0.968,30.475,0.6,33.559,0.254,0.246,20.583,0.856,0.497
ace,KarmaDock Raw,5.0,6.074,278,17051,853,84.47,0.869,6.631,0.629,30.385,0.15,0.128,6.074,0.856,0.497
egfr,KarmaDock Raw,0.5,30.1,540,34875,175,81.561,0.982,55.501,0.574,46.606,0.259,0.222,30.1,0.853,0.789
egfr,KarmaDock Raw,1.0,25.083,540,34875,349,135.547,0.976,40.377,0.622,38.839,0.304,0.296,25.083,0.853,0.789
egfr,KarmaDock Raw,5.0,12.04,540,34875,1744,325.127,0.936,14.57,0.78,60.209,0.318,0.267,12.04,0.853,0.789
inha,KarmaDock Raw,0.5,0.0,43,2329,12,0.0,0.0,0.0,0.497,0.0,-0.01,-0.008,0.0,0.477,0.022
inha,KarmaDock Raw,1.0,0.0,43,2329,24,0.0,0.0,0.0,0.495,0.0,-0.014,-0.013,0.0,0.477,0.022
inha,KarmaDock Raw,5.0,1.506,43,2329,117,3.254,0.603,1.521,0.513,7.566,0.016,0.014,1.506,0.477,0.022
akt1,KarmaDock Raw,0.5,17.745,292,16176,81,25.946,0.962,25.637,0.543,32.032,0.161,0.132,17.745,0.891,0.528
akt1,KarmaDock Raw,1.0,13.443,292,16176,162,39.312,0.946,17.43,0.563,24.267,0.17,0.162,13.443,0.891,0.528
akt1,KarmaDock Raw,5.0,10.527,292,16176,809,153.728,0.927,12.762,0.743,52.646,0.296,0.26,10.527,0.891,0.528
igf1r,KarmaDock Raw,0.5,29.075,147,9044,46,21.739,0.982,54.231,0.573,47.258,0.258,0.219,29.075,0.983,0.897
igf1r,KarmaDock Raw,1.0,26.432,147,9044,91,39.095,0.979,45.587,0.63,42.962,0.33,0.32,26.432,0.983,0.897
igf1r,KarmaDock Raw,5.0,16.041,147,9044,453,118.113,0.955,21.346,0.883,80.349,0.444,0.378,16.041,0.983,0.897
fgfr1,KarmaDock Raw,0.5,29.475,129,435,3,26.223,1.596,-2.679,0.64,874.086,1.541,0.389,29.475,0.951,0.91
fgfr1,KarmaDock Raw,1.0,29.475,129,435,5,43.704,1.596,-2.679,0.733,874.086,1.994,0.644,29.475,0.951,0.91
fgfr1,KarmaDock Raw,5.0,14.229,129,435,22,92.834,1.474,-3.109,0.976,421.973,1.982,1.251,14.229,0.951,0.91
ppara,KarmaDock Raw,0.5,22.8,371,16295,82,42.567,0.979,46.332,0.556,51.91,0.237,0.181,22.8,0.85,0.778
ppara,KarmaDock Raw,1.0,20.727,371,16295,163,76.922,0.975,38.356,0.601,47.191,0.303,0.278,20.727,0.85,0.778
ppara,KarmaDock Raw,5.0,14.5,371,16295,815,269.058,0.955,21.153,0.845,72.522,0.473,0.436,14.5,0.85,0.778
hdac8,KarmaDock Raw,0.5,0.0,164,10481,53,0.0,0.0,0.0,0.497,0.0,-0.009,-0.008,0.0,0.397,0.002
hdac8,KarmaDock Raw,1.0,0.0,164,10481,105,0.0,0.0,0.0,0.495,0.0,-0.013,-0.012,0.0,0.397,0.002
hdac8,KarmaDock Raw,5.0,0.506,164,10481,525,4.155,0.334,0.502,0.487,2.533,-0.014,-0.012,0.506,0.397,0.002
lck,KarmaDock FF,0.5,25.062,416,27305,137,52.311,0.976,39.926,0.561,38.183,0.213,0.183,25.062,0.889,0.819
lck,KarmaDock FF,1.0,25.062,416,27305,274,104.623,0.976,39.926,0.623,38.183,0.301,0.295,25.062,0.889,0.819
lck,KarmaDock FF,5.0,14.536,416,27305,1366,302.52,0.948,18.387,0.844,72.721,0.386,0.324,14.536,0.889,0.819
hdac2,KarmaDock FF,0.5,0.0,180,10352,52,0.0,0.0,0.0,0.497,0.0,-0.009,-0.008,0.0,0.521,0.039
hdac2,KarmaDock FF,1.0,0.0,180,10352,104,0.0,0.0,0.0,0.495,0.0,-0.013,-0.013,0.0,0.521,0.039
hdac2,KarmaDock FF,5.0,2.023,180,10352,518,18.224,0.673,2.061,0.526,10.124,0.031,0.027,2.023,0.521,0.039
braf,KarmaDock FF,0.5,10.083,150,9887,50,7.649,0.921,11.724,0.523,15.298,0.08,0.069,10.083,0.728,0.307
braf,KarmaDock FF,1.0,12.604,150,9887,99,18.931,0.939,15.348,0.559,19.122,0.145,0.142,12.604,0.728,0.307
braf,KarmaDock FF,5.0,5.042,150,9887,495,37.862,0.843,5.376,0.603,25.241,0.115,0.096,5.042,0.728,0.307
kif11,KarmaDock FF,0.5,5.038,116,6837,35,2.991,0.844,5.415,0.511,8.547,0.038,0.032,5.037,0.648,0.108
kif11,KarmaDock FF,1.0,5.038,116,6837,69,5.897,0.844,5.415,0.521,8.547,0.054,0.052,5.037,0.648,0.108
kif11,KarmaDock FF,5.0,1.008,116,6837,342,5.846,0.502,1.008,0.5,5.04,0.0,0.0,1.008,0.648,0.108
adrb2,KarmaDock FF,0.5,0.0,231,14649,74,0.0,0.0,0.0,0.497,0.0,-0.009,-0.008,0.0,0.598,0.075
