Target,Model,Percentile,EF,n,N,Ns,ns,PM,ROCE,CCR,REF,MCC,CKC,RIE,AUC_ROC,BEDROC
parp-1,KarmaDock Raw,0.5,30.075,40,1240,7,6.791,0.999,975.405,0.585,97.016,0.4,0.282,30.075,0.918,0.804
parp-1,KarmaDock Raw,1.0,27.569,40,1240,13,11.561,0.996,241.038,0.644,88.931,0.499,0.427,27.569,0.918,0.804
parp-1,KarmaDock Raw,5.0,13.534,40,1240,62,27.068,0.959,23.246,0.824,67.669,0.525,0.512,13.534,0.918,0.804
hsp90,KarmaDock Raw,0.5,20.217,40,1240,7,4.565,0.983,56.244,0.556,65.215,0.264,0.186,20.217,0.888,0.652
hsp90,KarmaDock Raw,1.0,20.217,40,1240,13,8.478,0.983,56.244,0.604,65.215,0.361,0.309,20.217,0.888,0.652
hsp90,KarmaDock Raw,5.0,10.614,40,1240,62,21.228,0.94,15.619,0.748,53.069,0.403,0.392,10.614,0.888,0.652
ar,KarmaDock Raw,0.5,16.075,40,1240,7,3.63,0.97,32.312,0.544,51.855,0.207,0.146,16.075,0.887,0.935
ar,KarmaDock Raw,1.0,16.075,40,1240,13,6.741,0.97,32.312,0.582,51.855,0.283,0.242,16.075,0.887,0.935
ar,KarmaDock Raw,5.0,10.047,40,1240,62,20.094,0.935,14.385,0.734,50.234,0.379,0.369,10.047,0.887,0.935
cyp2a6,KarmaDock Raw,0.5,5.638,40,1240,7,1.273,0.87,6.668,0.514,18.185,0.064,0.045,5.638,0.483,0.225
cyp2a6,KarmaDock Raw,1.0,7.517,40,1240,13,3.152,0.906,9.603,0.535,24.247,0.122,0.105,7.517,0.483,0.225
cyp2a6,KarmaDock Raw,5.0,1.503,40,1240,62,3.007,0.605,1.529,0.513,7.517,0.021,0.021,1.503,0.483,0.225
a2a,KarmaDock Raw,0.5,5.117,40,1240,7,1.155,0.856,5.93,0.512,16.505,0.057,0.04,5.117,0.685,0.223
a2a,KarmaDock Raw,1.0,5.117,40,1240,13,2.146,0.856,5.93,0.522,16.505,0.077,0.066,5.117,0.685,0.223
a2a,KarmaDock Raw,5.0,3.523,40,1240,62,7.046,0.794,3.846,0.565,17.615,0.106,0.103,3.523,0.685,0.223
mdm2,KarmaDock Raw,0.5,23.94,40,1240,7,5.406,0.99,101.728,0.567,77.226,0.316,0.223,23.94,0.857,0.617
mdm2,KarmaDock Raw,1.0,24.484,40,1240,13,10.268,0.991,112.728,0.627,78.981,0.441,0.378,24.484,0.857,0.617
mdm2,KarmaDock Raw,5.0,10.651,40,1240,62,21.303,0.94,15.703,0.749,53.256,0.404,0.394,10.651,0.857,0.617
jak3,KarmaDock Raw,0.5,23.94,40,1240,7,5.406,0.99,101.728,0.567,77.226,0.316,0.223,23.94,0.951,0.767
jak3,KarmaDock Raw,1.0,24.484,40,1240,13,10.268,0.991,112.728,0.627,78.981,0.441,0.378,24.484,0.951,0.767
jak3,KarmaDock Raw,5.0,12.173,40,1240,62,24.346,0.951,19.397,0.789,60.864,0.468,0.456,12.173,0.951,0.767
ephb4,KarmaDock Raw,0.5,25.292,40,1240,7,5.711,0.993,132.92,0.571,81.586,0.334,0.236,25.292,0.995,0.97
ephb4,KarmaDock Raw,1.0,27.821,40,1240,13,11.667,0.996,262.529,0.645,89.745,0.504,0.431,27.821,0.995,0.97
ephb4,KarmaDock Raw,5.0,19.222,40,1240,62,38.443,0.98,48.959,0.971,96.108,0.763,0.744,19.222,0.995,0.97
rxr,KarmaDock Raw,0.5,12.012,40,1240,7,2.712,0.95,18.98,0.532,38.75,0.151,0.107,12.013,0.942,0.726
rxr,KarmaDock Raw,1.0,18.686,40,1240,13,7.836,0.979,45.524,0.596,60.278,0.332,0.284,18.686,0.942,0.726
