Target,Model,Percentile,EF,n,N,Ns,ns,PM,ROCE,CCR,REF,MCC,CKC,RIE,AUC_ROC,BEDROC
fabp4,Scardino et al.(proprietary)*,1.0,41.0,47,2518,26,19.898,0.994,171.423,0.71,76.529,0.563,0.539,41.0,,
hivrt,Scardino et al.(proprietary)*,1.0,17.0,337,18737,188,57.483,0.96,24.047,0.582,30.576,0.218,0.209,17.0,,
dyr,Scardino et al.(proprietary)*,1.0,25.8,231,17074,171,59.689,0.975,39.099,0.626,34.906,0.292,0.289,25.8,,
aldr,Scardino et al.(proprietary)*,1.0,36.0,158,9054,91,57.169,0.99,95.144,0.679,62.823,0.47,0.452,36.0,,
lkha4,Scardino et al.(proprietary)*,1.0,14.7,170,7992,80,25.015,0.954,20.933,0.57,31.269,0.203,0.189,14.7,,
ptn1,Scardino et al.(proprietary)*,1.0,24.0,128,7312,74,31.09,0.976,40.664,0.618,42.013,0.31,0.299,24.0,,
pyrd,Scardino et al.(proprietary)*,1.0,34.7,109,6070,61,38.01,0.989,90.417,0.672,62.311,0.459,0.44,34.7,,
reni,Scardino et al.(proprietary)*,1.0,55.6,104,7010,71,58.566,0.997,312.784,0.781,82.488,0.678,0.665,55.6,,
hdac2,Scardino et al.(proprietary)*,1.0,27.7,180,10352,104,50.091,0.981,52.509,0.636,48.165,0.358,0.344,27.7,,
hs90a,Scardino et al.(proprietary)*,1.0,15.4,86,4840,49,13.408,0.954,20.825,0.574,27.364,0.196,0.188,15.4,,
abl1,Scardino et al.(proprietary)*,1.0,26.4,180,9814,99,47.936,0.98,50.244,0.631,48.421,0.35,0.335,26.4,,
gria2,Scardino et al.(proprietary)*,1.0,29.0,158,11662,117,45.969,0.979,47.121,0.642,39.29,0.33,0.327,29.0,,
esr1,Scardino et al.(proprietary)*,1.0,32.8,375,20175,202,123.152,0.988,82.469,0.662,60.967,0.44,0.419,32.8,,
dhi1,Scardino et al.(proprietary)*,1.0,9.0,329,19461,195,29.669,0.913,10.436,0.541,15.215,0.106,0.102,9.0,,
cdk2,Scardino et al.(proprietary)*,1.0,19.0,471,27755,278,89.635,0.965,27.565,0.592,32.243,0.238,0.23,19.0,,
ace,Scardino et al.(proprietary)*,1.0,23.0,278,17051,171,64.124,0.973,36.2,0.612,37.499,0.285,0.277,23.0,,
fa7,Scardino et al.(proprietary)*,1.0,34.3,114,6114,62,39.652,0.989,93.384,0.672,63.955,0.465,0.443,34.3,,
kpcb,Scardino et al.(proprietary)*,1.0,54.0,126,8611,87,68.743,0.996,253.564,0.772,79.015,0.652,0.641,54.0,,
igf1r,Scardino et al.(proprietary)*,1.0,39.0,147,9044,91,57.685,0.991,104.797,0.694,63.39,0.492,0.478,39.0,,
hxk4,Scardino et al.(proprietary)*,1.0,15.0,91,4720,48,13.881,0.954,20.696,0.573,28.919,0.199,0.189,15.0,,
prgr,Scardino et al.(proprietary)*,1.0,17.0,223,12892,129,37.934,0.959,23.665,0.581,29.406,0.213,0.205,17.0,,
nram,Scardino et al.(proprietary)*,1.0,14.0,98,4300,43,13.72,0.953,20.092,0.567,31.907,0.2,0.183,14.0,,
kith,Scardino et al.(proprietary)*,1.0,20.0,57,2894,29,11.424,0.97,32.349,0.597,39.392,0.271,0.256,20.0,,
urok,Scardino et al.(proprietary)*,1.0,57.0,162,9687,97,92.464,0.999,1198.51,0.785,95.324,0.734,0.71,57.0,,
andr,Scardino et al.(proprietary)*,1.0,14.0,178,10025,101,25.106,0.948,18.301,0.567,24.858,0.176,0.169,14.0,,
fabp4,Scardino et al.(free)*,1.0,27.0,47,2518,26,13.103,0.982,53.416,0.637,50.397,0.366,0.35,27.0,,
hivrt,Scardino et al.(free)*,1.0,5.0,337,18737,188,16.907,0.844,5.395,0.52,8.993,0.054,0.052,5.0,,
dyr,Scardino et al.(free)*,1.0,14.5,231,17074,171,33.546,0.947,17.795,0.569,19.618,0.159,0.157,14.5,,
aldr,Scardino et al.(free)*,1.0,24.0,158,9054,91,38.113,0.976,40.575,0.618,41.882,0.309,0.297,24.0,,
lkha4,Scardino et al.(free)*,1.0,23.6,170,7992,80,40.16,0.979,46.382,0.616,50.2,0.335,0.312,23.6,,
ptn1,Scardino et al.(free)*,1.0,30.0,128,7312,74,38.862,0.984,62.074,0.649,52.516,0.391,0.377,30.0,,
pyrd,Scardino et al.(free)*,1.0,28.3,109,6070,61,30.999,0.983,56.509,0.64,50.819,0.372,0.356,28.3,,
reni,Scardino et al.(free)*,1.0,12.5,104,7010,71,13.167,0.938,15.118,0.559,18.545,0.143,0.14,12.5,,
hdac2,Scardino et al.(free)*,1.0,23.9,180,10352,104,43.219,0.976,40.184,0.617,41.557,0.307,0.295,23.9,,
hs90a,Scardino et al.(free)*,1.0,0.0,86,4840,49,0.0,0.0,0.0,0.495,0.0,-0.014,-0.013,0.0,,
abl1,Scardino et al.(free)*,1.0,13.4,180,9814,99,24.331,0.946,17.441,0.564,24.577,0.171,0.164,13.4,,
gria2,Scardino et al.(free)*,1.0,24.0,158,11662,117,38.044,0.972,35.082,0.617,32.516,0.271,0.268,24.0,,
esr1,Scardino et al.(free)*,1.0,20.4,375,20175,202,76.595,0.97,32.249,0.599,37.918,0.268,0.256,20.4,,
dhi1,Scardino et al.(free)*,1.0,7.0,329,19461,195,23.076,0.886,7.805,0.531,11.834,0.079,0.076,7.0,,
cdk2,Scardino et al.(free)*,1.0,16.0,471,27755,278,75.482,0.956,21.591,0.576,27.152,0.198,0.191,16.0,,
ace,Scardino et al.(free)*,1.0,14.0,278,17051,171,39.032,0.947,17.845,0.566,22.826,0.168,0.163,14.0,,
fa7,Scardino et al.(free)*,1.0,26.6,114,6114,62,30.751,0.981,51.791,0.632,49.598,0.357,0.341,26.6,,
kpcb,Scardino et al.(free)*,1.0,46.0,126,8611,87,58.559,0.993,138.654,0.731,67.309,0.554,0.544,46.0,,
igf1r,Scardino et al.(free)*,1.0,30.0,147,9044,91,44.373,0.983,57.598,0.648,48.762,0.376,0.365,30.0,,
hxk4,Scardino et al.(free)*,1.0,2.0,91,4720,48,1.851,0.671,2.04,0.505,3.856,0.014,0.013,2.0,,
prgr,Scardino et al.(free)*,1.0,8.0,223,12892,129,17.851,0.901,9.124,0.536,13.838,0.093,0.09,8.0,,
nram,Scardino et al.(free)*,1.0,2.0,98,4300,43,1.96,0.672,2.048,0.505,4.558,0.015,0.014,2.0,,
kith,Scardino et al.(free)*,1.0,8.0,57,2894,29,4.569,0.903,9.309,0.536,15.757,0.1,0.094,8.0,,
urok,Scardino et al.(free)*,1.0,43.0,162,9687,97,69.753,0.993,150.524,0.714,71.911,0.551,0.533,43.0,,
andr,Scardino et al.(free)*,1.0,7.0,178,10025,101,12.553,0.887,7.852,0.531,12.429,0.081,0.078,7.0,,
aa2ar,Gold,1.0,17.01,481,10862,109,82.104,0.985,65.884,0.584,75.325,0.347,0.266,17.01,,0.29
abl1,Gold,1.0,26.92,180,9814,99,48.881,0.981,52.199,0.633,49.374,0.358,0.342,26.92,,0.46
ace,Gold,1.0,14.54,278,17051,171,40.537,0.949,18.747,0.569,23.706,0.175,0.17,14.54,,0.27
aces,Gold,1.0,22.52,441,25390,254,99.352,0.973,36.345,0.61,39.115,0.288,0.277,22.52,,0.36
ada,Gold,1.0,18.28,93,5527,56,17.225,0.963,25.956,0.589,30.759,0.229,0.221,18.28,,0.32
ada17,Gold,1.0,20.49,516,36010,361,105.993,0.966,28.591,0.599,29.361,0.236,0.233,20.49,,0.34
adrb1,Gold,1.0,27.53,247,15925,160,68.319,0.979,47.3,0.635,42.7,0.335,0.328,27.53,,0.45
adrb2,Gold,1.0,26.41,231,14649,147,61.219,0.978,44.545,0.63,41.646,0.324,0.316,26.41,,0.42
akt1,Gold,1.0,20.48,292,16176,162,59.89,0.97,31.906,0.599,36.969,0.266,0.254,20.48,,0.38
akt2,Gold,1.0,41.03,116,6745,68,47.983,0.993,136.986,0.705,70.563,0.534,0.515,41.03,,0.63
aldr,Gold,1.0,23.9,158,9054,91,37.954,0.976,40.285,0.617,41.708,0.308,0.296,23.9,,0.4
ampc,Gold,1.0,0.0,48,2866,29,0.0,0.0,0.0,0.495,0.0,-0.013,-0.013,0.0,,0.04
andr,Gold,1.0,1.12,178,10025,101,2.009,0.529,1.122,0.501,1.989,0.002,0.002,1.12,,0.04
aofb,Gold,1.0,16.39,121,6975,70,19.903,0.957,22.504,0.579,28.433,0.206,0.198,16.39,,0.27
bace1,Gold,1.0,25.44,280,17898,179,71.24,0.977,41.597,0.624,39.799,0.31,0.302,25.44,,0.41
braf,Gold,1.0,25.0,150,9887,99,37.549,0.975,39.665,0.622,37.929,0.3,0.293,25.0,,0.39
cah2,Gold,1.0,16.7,492,31266,313,82.253,0.957,22.297,0.58,26.279,0.2,0.194,16.7,,0.29
casp3,Gold,1.0,25.13,199,10828,109,50.341,0.979,45.838,0.624,46.185,0.333,0.318,25.13,,0.49
cdk2,Gold,1.0,15.82,471,27755,278,74.633,0.955,21.259,0.576,26.846,0.196,0.189,15.82,,0.29
comt,Gold,1.0,70.73,41,3872,39,29.209,0.996,278.752,0.855,74.895,0.728,0.727,70.73,,0.82
cp2c9,Gold,1.0,5.83,120,7325,74,7.068,0.864,6.34,0.525,9.551,0.063,0.061,5.83,,0.12
cp3a4,Gold,1.0,12.35,160,11766,118,19.817,0.936,14.641,0.558,16.794,0.134,0.133,12.35,,0.22
csf1r,Gold,1.0,19.28,164,12006,121,31.867,0.963,25.815,0.593,26.336,0.217,0.215,19.28,,0.34
cxcr4,Gold,1.0,2.5,39,3413,35,1.0,0.718,2.544,0.508,2.857,0.016,0.016,2.5,,0.11
def,Gold,1.0,26.47,99,5758,58,26.396,0.979,47.743,0.631,45.511,0.34,0.328,26.47,,0.48
dhi1,Gold,1.0,8.79,329,19461,195,28.977,0.91,10.15,0.54,14.86,0.103,0.099,8.79,,0.16
dpp4,Gold,1.0,20.08,532,40888,409,106.857,0.964,26.828,0.597,26.126,0.22,0.218,20.08,,0.3
drd3,Gold,1.0,11.04,478,33326,334,52.888,0.928,12.929,0.551,15.835,0.122,0.12,11.04,,0.18
dyr,Gold,1.0,48.48,231,17074,171,112.159,0.993,138.984,0.741,65.59,0.559,0.553,48.48,,0.66
egfr,Gold,1.0,25.09,540,34875,349,135.583,0.976,40.394,0.622,38.849,0.304,0.296,25.09,,0.4
esr1,Gold,1.0,24.61,375,20175,202,92.402,0.978,44.516,0.62,45.743,0.327,0.311,24.61,,0.42
esr2,Gold,1.0,17.49,363,19336,194,63.699,0.962,25.551,0.584,32.834,0.23,0.219,17.49,,0.31
fa10,Gold,1.0,34.26,537,20046,201,184.472,0.998,405.476,0.671,91.777,0.555,0.493,34.26,,0.72
fa7,Gold,1.0,45.61,114,6114,62,52.727,0.997,299.259,0.73,85.043,0.622,0.594,45.61,,0.77
fabp4,Gold,1.0,31.91,47,2518,26,15.486,0.987,77.438,0.663,59.562,0.435,0.417,31.91,,0.5
fak1,Gold,1.0,29.0,99,5388,54,28.774,0.984,60.938,0.643,53.285,0.385,0.368,29.0,,0.52
fgfr1,Gold,1.0,3.6,129,435,5,5.338,1.027,-37.469,0.521,106.759,0.182,0.059,3.6,,0.83
fkb1a,Gold,1.0,25.0,111,5887,59,27.811,0.979,46.401,0.623,47.138,0.335,0.318,25.0,,0.39
fnta,Gold,1.0,21.62,589,51372,514,127.411,0.966,28.416,0.604,24.788,0.223,0.223,21.62,,0.32
fpps,Gold,1.0,91.76,85,8817,89,78.73,0.999,787.545,0.963,92.624,0.904,0.904,91.76,,0.97
gcr,Gold,1.0,6.98,183,12612,127,12.863,0.884,7.654,0.531,10.128,0.073,0.072,6.98,,0.13
glcm,Gold,1.0,27.78,54,3834,39,15.259,0.978,44.993,0.638,39.127,0.324,0.32,27.78,,0.4
gria2,Gold,1.0,14.56,158,11662,117,23.08,0.947,17.892,0.569,19.726,0.16,0.158,14.56,,0.23
grik1,Gold,1.0,29.7,101,6620,67,30.36,0.982,53.48,0.647,45.313,0.361,0.354,29.7,,0.47
hdac2,Gold,1.0,16.76,180,10352,104,30.308,0.959,23.242,0.581,29.142,0.211,0.203,16.76,,0.32
hdac8,Gold,1.0,10.0,164,10481,105,16.43,0.921,11.669,0.546,15.647,0.114,0.111,10.0,,0.21
hivint,Gold,1.0,9.0,100,6673,67,9.036,0.911,10.247,0.541,13.487,0.099,0.097,9.0,,0.17
hivpr,Gold,1.0,17.91,519,35905,360,93.199,0.96,23.817,0.586,25.889,0.206,0.203,17.91,,0.28
hivrt,Gold,1.0,12.72,337,18737,188,43.011,0.942,16.197,0.56,22.878,0.16,0.153,12.72,,0.23
hmdh,Gold,1.0,24.12,168,8878,89,40.622,0.978,43.533,0.618,45.643,0.323,0.307,24.12,,0.42
hs90a,Gold,1.0,13.64,86,4840,49,11.876,0.946,17.683,0.565,24.236,0.172,0.165,13.64,,0.26
