Target,Model,Percentile,EF,n,N,Ns,ns,PM,ROCE,CCR,REF,MCC,CKC,RIE,AUC_ROC,BEDROC
fen1,GlideSP,0.1,0.0,360,351078,352,0.0,0.0,0.0,0.499,0.0,-0.001,-0.001,0.0,0.584,0.038
fen1,GlideSP,0.5,2.17,360,351078,1756,3.907,0.685,2.173,0.503,1.085,0.003,0.002,2.17,0.584,0.038
fen1,GlideSP,1.0,2.17,360,351078,3511,7.812,0.685,2.173,0.506,2.17,0.004,0.002,2.17,0.584,0.038
fen1,GlideSP,5.0,4.13,360,351078,17554,74.34,0.806,4.143,0.578,20.65,0.023,0.006,4.13,0.584,0.038
fen1,IGN(DUD-E),0.1,21.683,360,351078,352,7.826,0.957,22.153,0.51,2.223,0.021,0.021,21.683,0.668,0.088
fen1,IGN(DUD-E),0.5,13.03,360,351078,1756,23.462,0.93,13.193,0.53,6.517,0.027,0.021,13.03,0.668,0.088
fen1,IGN(DUD-E),1.0,8.69,360,351078,3511,31.286,0.898,8.759,0.538,8.691,0.025,0.014,8.69,0.668,0.088
fen1,IGN(DUD-E),5.0,4.13,360,351078,17554,74.34,0.806,4.143,0.578,20.65,0.023,0.006,4.13,0.668,0.088
fen1,IGN(target-specific),0.1,119.255,360,351078,352,43.045,0.993,135.731,0.559,12.229,0.12,0.12,119.255,0.882,0.295
fen1,IGN(target-specific),0.5,41.29,360,351078,1756,74.348,0.977,43.071,0.601,20.652,0.092,0.069,41.29,0.882,0.295
fen1,IGN(target-specific),1.0,30.424,360,351078,3511,109.533,0.969,31.372,0.647,30.426,0.095,0.055,30.424,0.882,0.295
fen1,IGN(target-specific),5.0,10.651,360,351078,17554,191.719,0.915,10.758,0.742,53.255,0.071,0.019,10.651,0.882,0.295
fen1,RF-score-vs(target-specific),0.1,65.048,360,351078,352,23.479,0.986,69.625,0.532,6.67,0.065,0.065,65.048,0.713,0.154
fen1,RF-score-vs(target-specific),0.5,26.078,360,351078,1756,46.957,0.964,26.767,0.563,13.044,0.057,0.043,26.078,0.713,0.154
fen1,RF-score-vs(target-specific),1.0,14.126,360,351078,3511,50.857,0.935,14.319,0.566,14.127,0.042,0.024,14.126,0.713,0.154
fen1,RF-score-vs(target-specific),5.0,5.217,360,351078,17554,93.907,0.84,5.24,0.606,26.085,0.031,0.008,5.217,0.713,0.154
kat2a,GlideSP,0.1,0.0,194,342923,343,0.0,0.0,0.0,0.499,0.0,-0.001,-0.001,0.0,0.493,0.003
kat2a,GlideSP,0.5,0.0,194,342923,1715,0.0,0.0,0.0,0.497,0.0,-0.002,-0.001,0.0,0.493,0.003
kat2a,GlideSP,1.0,0.0,194,342923,3430,0.0,0.0,0.0,0.495,0.0,-0.002,-0.001,0.0,0.493,0.003
kat2a,GlideSP,5.0,0.83,194,342923,17147,8.051,0.454,0.83,0.496,4.15,-0.001,-0.0,0.83,0.493,0.003
kat2a,IGN(DUD-E),0.1,41.196,194,342923,343,7.994,0.977,42.155,0.52,4.121,0.03,0.029,41.196,0.61,0.076
kat2a,IGN(DUD-E),0.5,12.47,194,342923,1715,12.099,0.926,12.551,0.529,6.236,0.019,0.012,12.47,0.61,0.076
kat2a,IGN(DUD-E),1.0,6.24,194,342923,3430,12.108,0.862,6.259,0.526,6.241,0.013,0.006,6.24,0.61,0.076
kat2a,IGN(DUD-E),5.0,2.91,194,342923,17147,28.228,0.744,2.913,0.548,14.551,0.01,0.002,2.91,0.61,0.076
kat2a,IGN(target-specific),0.1,0.0,194,342923,343,0.0,0.0,0.0,0.499,0.0,-0.001,-0.001,0.0,0.504,0.03
kat2a,IGN(target-specific),0.5,4.157,194,342923,1715,4.033,0.806,4.164,0.508,2.079,0.005,0.003,4.157,0.504,0.03
kat2a,IGN(target-specific),1.0,4.162,194,342923,3430,8.076,0.807,4.169,0.516,4.163,0.008,0.003,4.162,0.504,0.03
kat2a,IGN(target-specific),5.0,1.666,194,342923,17147,16.161,0.625,1.667,0.517,8.33,0.004,0.001,1.666,0.504,0.03
kat2a,RF-score-vs(target-specific),0.1,0.0,194,342923,343,0.0,0.0,0.0,0.499,0.0,-0.001,-0.001,0.0,0.511,0.013
kat2a,RF-score-vs(target-specific),0.5,0.0,194,342923,1715,0.0,0.0,0.0,0.497,0.0,-0.002,-0.001,0.0,0.511,0.013
kat2a,RF-score-vs(target-specific),1.0,2.081,194,342923,3430,4.038,0.676,2.082,0.505,2.081,0.003,0.001,2.081,0.511,0.013
kat2a,RF-score-vs(target-specific),5.0,1.25,194,342923,17147,12.126,0.556,1.25,0.506,6.25,0.001,0.0,1.25,0.511,0.013
pkm2,GlideSP,0.1,0.0,546,245225,246,0.0,0.0,0.0,0.499,0.0,-0.001,-0.001,0.0,0.519,0.009
