,Scoring Function,Clustering Metric,ace,adrb2,aldr,andr,cdk2,cox1,dhi1,dyr,hdac2,hivrt,hs90a,igf1r,kith,kpcb,nram,pde5a,pnph,prgr,Average
0,AD4,3DScore,5.03,2.55,5.11,0.0,0.0,2.59,0.0,2.51,2.56,4.81,0.0,12.82,5.09,10.25,2.55,0.0,0.0,2.41,3.237777777777777
1,CHEMPLP,3DScore,12.58,7.66,10.22,0.0,0.0,2.59,0.0,0.0,10.26,0.0,0.0,5.13,15.26,0.0,0.0,0.0,2.57,0.0,3.6816666666666666
2,GNINA,3DScore,2.52,2.55,7.66,4.97,2.54,2.59,0.0,2.51,12.82,0.0,0.0,7.69,15.26,5.12,0.0,0.0,0.0,2.41,3.8133333333333326
3,CNN-Score,3DScore,7.55,0.0,10.22,2.49,2.54,2.59,2.64,20.12,2.56,7.22,0.0,12.82,30.52,10.25,5.11,0.0,10.28,4.82,7.3183333333333325
4,CNN-Affinity,3DScore,2.52,2.55,7.66,0.0,2.54,7.76,0.0,2.51,5.13,2.41,0.0,15.39,7.63,2.56,0.0,2.55,5.14,2.41,3.8199999999999994
5,LinF9,3DScore,2.52,0.0,5.11,0.0,2.54,2.59,2.64,0.0,7.69,2.41,0.0,15.39,7.63,10.25,2.55,0.0,2.57,0.0,3.5494444444444446
6,RFScoreVS,3DScore,2.52,0.0,17.88,14.91,7.61,15.51,13.2,17.6,2.56,7.22,7.71,12.82,10.17,7.69,12.77,0.0,23.14,14.48,10.432777777777778
7,RTMScore,3DScore,15.1,0.0,0.0,9.94,10.14,7.76,0.0,20.12,5.13,2.41,5.14,20.52,0.0,12.81,0.0,0.0,12.85,9.65,7.309444444444444
8,SCORCH,3DScore,20.13,7.66,2.55,2.49,5.07,5.17,5.28,2.51,0.0,0.0,5.14,2.56,0.0,7.69,12.77,0.0,2.57,0.0,4.532777777777778
9,Vinardo,3DScore,5.03,0.0,10.22,4.97,0.0,5.17,2.64,5.03,15.39,4.81,0.0,10.26,12.72,15.38,2.55,0.0,10.28,2.41,5.9366666666666665
10,AD4,bestpose_GNINA,4.97,2.53,7.65,0.0,2.47,12.89,0.0,2.45,7.59,5.21,0.0,4.99,12.47,5.05,0.0,0.0,2.56,0.0,3.935
11,CHEMPLP,bestpose_GNINA,7.46,2.53,17.85,0.0,2.47,2.58,0.0,0.0,12.66,2.6,0.0,4.99,19.95,0.0,7.58,0.0,2.56,0.0,4.623888888888889
12,GNINA,bestpose_GNINA,4.97,5.07,10.2,2.53,4.94,15.46,0.0,2.45,20.25,5.21,2.52,9.98,24.94,2.52,0.0,0.0,5.12,0.0,6.453333333333333
13,CNN-Score,bestpose_GNINA,7.46,0.0,10.2,2.53,2.47,10.31,0.0,22.09,7.59,7.81,5.04,14.98,27.43,5.05,2.52,0.0,17.91,0.0,7.966111111111112
14,CNN-Affinity,bestpose_GNINA,0.0,0.0,15.3,0.0,0.0,10.31,0.0,4.91,2.53,2.6,2.52,12.48,12.47,0.0,0.0,0.0,5.12,0.0,3.7911111111111118
15,LinF9,bestpose_GNINA,4.97,5.07,7.65,2.53,0.0,2.58,0.0,0.0,5.06,2.6,0.0,9.98,17.46,12.62,2.52,0.0,2.56,0.0,4.199999999999999
16,RFScoreVS,bestpose_GNINA,4.97,0.0,17.85,17.68,7.41,20.62,7.88,12.27,0.0,2.6,2.52,22.46,7.48,7.58,20.2,2.52,30.7,9.61,10.79722222222222
17,RTMScore,bestpose_GNINA,14.91,2.53,2.55,2.53,14.82,15.46,0.0,12.27,10.12,2.6,7.56,22.46,2.49,22.72,2.52,2.52,15.35,0.0,8.522777777777778
18,SCORCH,bestpose_GNINA,19.88,5.07,5.1,2.53,4.94,7.73,2.63,4.91,2.53,2.6,2.52,2.5,0.0,2.52,0.0,0.0,10.23,2.4,4.338333333333335
19,Vinardo,bestpose_GNINA,4.97,7.6,10.2,0.0,2.47,15.46,0.0,4.91,22.78,2.6,0.0,7.49,19.95,7.58,0.0,0.0,10.23,0.0,6.457777777777777
20,AD4,bestpose_PLANTS,2.48,0.0,2.65,0.0,0.0,7.54,2.82,0.0,5.1,0.0,0.0,14.9,2.55,0.0,5.09,0.0,2.51,5.33,2.831666666666666
21,CHEMPLP,bestpose_PLANTS,9.92,2.51,15.92,3.13,0.0,0.0,0.0,0.0,7.65,0.0,0.0,0.0,12.76,0.0,2.55,0.0,0.0,0.0,3.0244444444444443
22,GNINA,bestpose_PLANTS,4.96,0.0,7.96,12.52,5.04,10.05,5.63,0.0,17.86,0.0,0.0,9.93,10.21,2.66,5.09,0.0,2.51,5.33,5.541666666666668
23,CNN-Score,bestpose_PLANTS,7.44,2.51,7.96,3.13,5.04,10.05,0.0,0.0,5.1,10.57,4.95,7.45,30.63,0.0,10.18,0.0,2.51,10.66,6.565555555555555
24,CNN-Affinity,bestpose_PLANTS,2.48,2.51,13.27,0.0,2.52,12.56,0.0,0.0,5.1,2.64,4.95,4.97,5.11,0.0,5.09,0.0,2.51,2.66,3.6872222222222226
25,LinF9,bestpose_PLANTS,2.48,2.51,5.31,0.0,2.52,2.51,0.0,0.0,7.65,0.0,0.0,7.45,5.11,7.97,2.55,2.57,2.51,2.66,2.988888888888889
26,RFScoreVS,bestpose_PLANTS,7.44,0.0,15.92,21.91,2.52,22.61,2.82,7.8,2.55,5.29,2.48,4.97,12.76,5.32,7.64,0.0,30.18,10.66,9.048333333333334
27,RTMScore,bestpose_PLANTS,7.44,2.51,2.65,6.26,15.13,15.08,0.0,0.0,12.76,2.64,4.95,17.38,0.0,10.63,5.09,0.0,5.03,13.32,6.715
28,SCORCH,bestpose_PLANTS,19.84,0.0,0.0,3.13,2.52,10.05,0.0,0.0,5.1,0.0,2.48,0.0,0.0,0.0,0.0,0.0,7.54,0.0,2.8144444444444443
29,Vinardo,bestpose_PLANTS,7.44,5.02,13.27,9.39,0.0,12.56,0.0,0.0,22.96,0.0,0.0,4.97,17.87,0.0,2.55,0.0,2.51,0.0,5.474444444444446
30,AD4,bestpose_SMINA,4.97,2.52,7.66,0.0,2.47,2.58,0.0,2.46,5.05,2.61,0.0,9.97,10.0,5.05,0.0,0.0,0.0,0.0,3.0744444444444445
31,CHEMPLP,bestpose_SMINA,12.44,5.05,17.88,2.46,0.0,2.58,2.63,0.0,12.61,0.0,0.0,4.98,22.5,0.0,5.05,0.0,0.0,0.0,4.898888888888888
32,GNINA,bestpose_SMINA,2.49,2.52,7.66,4.92,2.47,12.89,2.63,0.0,17.66,0.0,0.0,4.98,22.5,2.53,0.0,2.51,2.56,0.0,4.906666666666668
33,CNN-Score,bestpose_SMINA,4.97,0.0,12.77,0.0,0.0,12.89,0.0,24.62,2.52,10.43,10.13,12.46,27.5,7.58,2.53,0.0,17.91,0.0,8.128333333333332
34,CNN-Affinity,bestpose_SMINA,2.49,0.0,15.33,0.0,0.0,5.16,0.0,7.39,2.52,2.61,2.53,17.44,12.5,0.0,0.0,0.0,5.12,2.4,4.193888888888889
35,LinF9,bestpose_SMINA,2.49,0.0,5.11,0.0,2.47,2.58,2.63,0.0,2.52,2.61,0.0,4.98,10.0,5.05,5.05,0.0,0.0,0.0,2.527222222222222
36,RFScoreVS,bestpose_SMINA,2.49,0.0,25.55,22.16,9.9,25.78,7.88,14.78,5.05,5.21,2.53,12.46,15.0,5.05,15.16,0.0,30.7,9.62,11.628888888888888
37,RTMScore,bestpose_SMINA,12.44,0.0,2.55,7.39,12.38,18.04,0.0,12.31,7.57,0.0,5.07,22.42,0.0,10.11,0.0,0.0,20.47,2.4,7.397222222222222
38,SCORCH,bestpose_SMINA,22.39,10.1,0.0,2.46,7.42,7.73,5.25,4.92,2.52,2.61,10.13,2.49,0.0,2.53,5.05,0.0,7.68,0.0,5.182222222222222
