,Scoring Function,Clustering Metric,adrb2,pde5a,hivrt,dyr,pnph,aldr,hdac2,hs90a,dhi1,cox1,cdk2,ace,kpcb,igf1r,prgr,nram,kith,andr,Average
0,RFScoreVS,bestpose,0.0,0.0,4.81,17.66,30.85,20.44,0.0,2.58,2.64,23.29,7.62,5.04,7.69,15.45,9.65,20.5,17.81,19.9,11.440555555555557
1,PLECnn,bestpose,5.12,0.0,0.0,0.0,2.57,0.0,5.15,0.0,2.64,7.76,2.54,0.0,0.0,0.0,0.0,2.56,0.0,0.0,1.5744444444444445
2,KORPL,bestpose,0.0,2.55,7.22,17.66,30.85,0.0,18.04,18.02,0.0,2.59,12.71,15.11,12.82,15.45,16.89,12.81,15.26,19.9,12.104444444444443
3,CHEMPLP,bestpose,5.12,0.0,0.0,0.0,2.57,17.88,12.89,0.0,0.0,5.18,0.0,12.59,0.0,5.15,0.0,2.56,17.81,4.97,4.817777777777778
4,ConvexPLR,bestpose,0.0,0.0,0.0,2.52,10.28,2.55,10.31,2.58,0.0,5.18,0.0,7.56,0.0,7.72,2.41,2.56,10.17,0.0,3.546666666666667
5,GNINA,bestpose,5.12,0.0,2.41,0.0,2.57,7.66,18.04,0.0,0.0,12.94,5.08,5.04,2.56,12.88,0.0,2.56,22.89,4.97,5.817777777777778
6,CNN-Score,bestpose,0.0,0.0,9.62,7.57,7.71,10.22,5.15,2.58,2.64,12.94,0.0,2.52,2.56,10.3,2.41,5.12,30.52,2.49,6.352777777777778
7,CNN-Affinity,bestpose,0.0,0.0,2.41,2.52,2.57,17.88,5.15,2.58,0.0,10.35,2.54,0.0,5.13,18.02,0.0,2.56,10.17,0.0,4.548888888888889
8,AD4,bestpose,2.56,0.0,0.0,2.52,2.57,7.66,5.15,0.0,0.0,12.94,0.0,5.04,0.0,12.88,2.41,2.56,12.72,0.0,3.833888888888889
9,NNscore,bestpose,0.0,0.0,0.0,0.0,0.0,0.0,12.89,5.15,2.64,0.0,2.54,2.52,0.0,5.15,2.41,0.0,5.09,0.0,2.1327777777777777
10,Vinardo,bestpose,2.56,0.0,0.0,2.52,7.71,10.22,23.19,0.0,0.0,18.11,2.54,7.56,2.56,10.3,0.0,0.0,25.44,2.49,6.4
11,RTMScore,bestpose,2.56,0.0,7.22,7.57,18.0,2.55,10.31,7.72,0.0,15.52,15.25,7.56,10.26,18.02,0.0,2.56,0.0,7.46,7.364444444444445
12,SCORCH,bestpose,7.68,0.0,0.0,2.52,7.71,0.0,7.73,2.58,0.0,10.35,7.62,25.19,2.56,0.0,2.41,0.0,0.0,4.97,4.517777777777777
13,LinF9,bestpose,0.0,0.0,2.41,0.0,2.57,10.22,10.31,0.0,0.0,2.59,2.54,2.52,12.82,12.88,0.0,2.56,15.26,0.0,4.260000000000001
14,RFScoreVS,bestpose_SMINA,0.0,0.0,5.21,14.78,30.7,25.55,5.05,2.53,7.88,25.78,9.9,2.49,5.05,12.46,9.62,15.16,15.0,22.16,11.62888888888889
15,PLECnn,bestpose_SMINA,5.05,0.0,0.0,0.0,0.0,0.0,2.52,0.0,2.63,7.73,2.47,0.0,0.0,0.0,2.4,0.0,0.0,2.46,1.4033333333333333
16,KORPL,bestpose_SMINA,2.52,0.0,7.82,24.62,28.14,0.0,2.52,17.73,0.0,2.58,4.95,9.95,5.05,17.44,14.42,7.58,5.0,17.24,9.308888888888891
17,CHEMPLP,bestpose_SMINA,5.05,0.0,0.0,0.0,0.0,17.88,12.61,0.0,2.63,2.58,0.0,12.44,0.0,4.98,0.0,5.05,22.5,2.46,4.898888888888888
18,ConvexPLR,bestpose_SMINA,5.05,0.0,0.0,7.39,10.23,0.0,2.52,2.53,2.63,10.31,2.47,9.95,0.0,9.97,0.0,2.53,5.0,0.0,3.921111111111111
