Scoring Function,Clustering Metric,fabp4,hivrt,dyr,aldr,lkha4,ptn1,pyrd,reni,hdac2,hs90a,abl1,gria2,esr1,dhi1,cox1,cdk2,ace,fa7,kpcb,igf1r,hxk4,prgr,nram,kith,lfa1,urok,andr,Average
RFScoreVS,bestpose,14.64,22.15,48.86,27.82,29.32,42.08,52.63,9.66,9.16,13.71,42.21,33.65,44.42,23.97,24.18,12.86,17.03,52.05,26.72,38.54,8.67,34.58,33.62,50.95,38.55,36.92,32.45,30.42222222222222
KORPL,bestpose,0.0,2.77,48.43,1.9,34.02,36.72,3.63,4.83,17.79,37.7,29.6,16.51,25.87,0.3,0.51,21.71,15.61,55.58,11.88,25.69,6.5,15.07,33.62,19.32,6.55,51.07,13.43,19.87444444444444
CHEMPLP,bestpose,2.09,0.0,0.0,12.65,33.43,22.95,22.69,4.83,15.09,0.0,8.77,6.35,9.41,1.82,4.63,2.53,21.29,7.94,12.62,12.85,0.0,0.68,1.02,22.84,0.73,1.85,1.86,8.552592592592593
ConvexPLR,bestpose,23.0,5.54,16.0,12.01,28.74,16.07,21.78,5.79,9.7,1.14,18.64,9.52,12.28,0.3,5.66,5.69,17.74,32.64,14.1,18.93,11.92,4.11,0.0,22.84,5.82,20.31,0.0,12.602592592592593
GNINA,bestpose,6.27,0.0,9.51,7.59,32.84,22.95,30.85,4.83,17.79,0.0,13.7,14.6,20.38,5.76,9.26,8.01,4.61,13.23,25.98,17.58,3.25,0.68,0.0,40.41,2.18,3.08,10.44,12.065925925925923
CNN-Score,bestpose,0.0,2.77,10.81,8.85,38.71,19.89,13.61,3.86,10.24,8.0,18.64,14.6,18.03,0.91,9.26,6.74,9.58,22.94,31.18,15.55,14.08,3.08,9.17,45.68,4.36,10.46,2.24,13.082962962962963
CNN-Affinity,bestpose,2.09,0.0,11.67,15.18,7.62,16.83,18.15,1.93,3.23,13.71,15.9,10.16,7.84,1.52,6.17,7.59,4.61,22.94,21.53,16.23,17.33,2.4,1.02,35.14,2.18,9.23,0.75,10.109259259259261
AD4,bestpose,0.0,2.77,9.08,3.79,24.63,16.83,1.81,14.48,9.16,1.14,13.7,4.44,8.88,3.64,8.23,4.43,7.45,20.29,14.85,16.9,0.0,1.71,0.0,22.84,0.0,6.15,1.49,8.09962962962963
Vinardo,bestpose,8.36,2.77,14.7,12.65,31.67,20.66,23.59,10.62,25.87,0.0,21.93,18.41,14.37,2.12,8.75,4.64,8.51,29.99,20.04,21.64,10.83,0.68,0.0,19.32,2.91,11.69,2.98,12.951851851851854
RTMScore,bestpose,8.36,8.31,11.67,6.96,8.8,27.54,9.98,1.93,9.16,23.99,22.48,26.03,24.3,0.91,14.92,29.93,12.42,55.58,43.06,21.64,0.0,4.79,3.06,0.0,3.64,34.46,3.73,15.468518518518518
