clustering_method,method_name,selected_columns,abl1,ace,aldr,andr,cdk2,cox1,dhi1,dyr,esr1,fa7,fabp4,gria2,hdac2,hivrt,hmdh,hs90a,hxk4,igf1r,kith,kpcb,lfa1,lkha4,nram,prgr,ptn1,pyrd,reni,urok,xiap,Average
RMSD,method1,CHEMPLPFScoreVS,23.57,23.42,24.03,16.04,6.32,10.8,10.92,6.05,22.47,18.52,27.19,11.43,16.7,14.26,23.54,2.28,6.5,17.58,29.87,24.5,2.91,34.6,11.21,20.89,30.6,13.15,10.62,8.61,28.93,17.15551724137931
RMSD,method2,CHEMPLPFScoreVS,27.96,23.77,15.17,24.99,8.01,6.68,15.47,10.38,23.78,24.7,20.91,9.52,15.63,14.26,29.42,2.28,0.0,31.1,31.62,20.79,16.73,32.84,11.21,19.18,32.13,9.64,15.45,16.61,22.94,18.385172413793104
RMSD,method3,CHEMPLPFScoreVS,19.18,20.93,10.75,17.9,5.27,4.11,9.4,6.05,12.8,17.64,18.82,11.43,15.63,10.7,21.18,3.43,1.08,9.47,24.6,20.04,9.45,28.15,5.09,14.38,26.78,5.26,13.52,9.84,18.95,13.511379310344825
RMSD,method4,CHEMPLPFScoreVS,17.54,20.58,10.75,13.8,4.85,5.14,8.49,6.49,13.06,18.52,16.73,12.06,16.7,14.26,19.42,6.85,1.08,8.79,24.6,18.56,5.09,26.98,7.13,12.67,26.78,5.26,9.66,9.84,18.95,13.125172413793102
RMSD,method5,CHEMPLPFScoreVS,31.24,21.64,22.13,30.21,9.7,5.14,16.08,13.84,27.17,29.99,14.64,10.79,16.16,21.39,33.54,2.28,0.0,33.81,38.65,20.79,22.55,31.67,12.23,25.0,32.13,12.27,17.38,16.61,22.94,20.412758620689655
RMSD,method6,CHEMPLPFScoreVS,35.63,20.22,25.92,31.7,11.8,16.96,27.0,44.1,43.11,46.75,18.82,25.4,1.62,14.26,41.78,17.13,4.33,31.78,50.95,32.66,36.36,29.91,27.51,30.48,37.49,15.77,15.45,32.0,35.91,27.682758620689654
RMSD,method7,CHEMPLPFScoreVS,35.08,21.64,27.82,32.82,13.28,10.28,22.45,39.35,41.02,44.99,12.55,15.87,11.32,14.26,38.84,15.99,1.08,36.51,50.95,23.76,32.73,26.39,27.51,29.45,39.02,14.9,19.31,24.61,32.92,26.093103448275855
spyRMSD,method1,CHEMPLPFScoreVS,24.12,23.42,24.03,16.41,5.48,9.77,12.44,6.49,21.95,20.29,25.09,12.7,17.25,13.33,25.3,1.14,6.5,16.9,33.38,25.98,3.64,35.19,11.21,20.2,31.37,23.59,12.55,7.38,29.92,17.82827586206896
spyRMSD,method2,CHEMPLPFScoreVS,29.6,23.06,15.81,25.73,8.85,5.65,15.17,10.81,23.78,28.23,18.82,10.79,15.09,10.0,28.24,1.14,0.0,31.78,35.14,20.79,15.27,34.02,11.21,19.52,31.37,23.59,14.48,14.15,25.94,18.897586206896552
spyRMSD,method3,CHEMPLPFScoreVS,18.09,20.58,12.64,19.02,5.69,4.11,8.49,6.49,13.33,20.29,20.91,10.79,15.63,6.67,20.6,3.43,1.08,9.47,21.08,19.3,9.45,28.74,7.13,14.72,25.25,8.17,10.62,9.23,22.94,13.584137931034485
