clustering_method,method_name,selected_columns,abl1,ace,aldr,andr,cdk2,cox1,dhi1,drd3,dyr,esr1,fa7,fabp4,gria2,hdac2,hivrt,hmdh,hs90a,hxk4,igf1r,kith,kpcb,lfa1,lkha4,nram,pnph,prgr,ptn1,pyrd,reni,urok,xiap,Average
RMSD,method1,AD4_CHEMPLP,4.93,13.64,6.32,1.86,2.32,2.05,1.82,1.12,2.16,6.53,8.82,8.36,5.71,9.7,3.57,2.94,0.0,0.0,6.76,19.32,11.14,0.73,15.84,1.02,4.87,1.37,14.54,2.63,5.79,3.69,15.04,5.954516129032259
RMSD,method2,AD4_CHEMPLP,6.58,14.72,2.53,1.86,2.11,0.51,3.34,1.39,2.16,5.23,11.47,0.0,7.62,11.32,0.0,5.88,0.0,0.0,6.76,19.32,12.62,0.73,23.46,0.0,8.77,3.42,19.89,0.0,3.86,5.54,15.04,6.3267741935483865
RMSD,method3,AD4_CHEMPLP,6.03,13.28,1.9,1.12,2.11,0.0,2.43,1.39,0.43,4.44,7.94,2.09,6.98,11.32,0.0,5.3,1.14,0.0,2.7,14.05,11.88,0.73,18.77,0.0,5.85,2.05,16.07,0.0,5.79,3.08,14.03,5.254838709677419
RMSD,method4,AD4_CHEMPLP,6.03,13.28,1.9,1.12,1.48,0.0,2.43,1.39,0.43,4.44,7.94,2.09,6.98,11.85,0.0,5.3,1.14,0.0,2.7,12.3,11.14,0.73,18.18,0.0,6.82,2.05,16.83,0.0,5.79,3.08,14.03,5.208064516129032
RMSD,method5,AD4_CHEMPLP,6.03,12.92,3.16,1.86,1.26,0.51,3.64,0.84,0.43,4.7,8.82,2.09,5.71,10.24,0.0,5.88,1.14,0.0,6.76,19.32,10.39,0.0,23.46,1.02,8.77,3.77,18.36,0.0,4.83,4.92,15.04,5.995806451612904
RMSD,method6,AD4_CHEMPLP,5.48,14.72,7.59,2.23,2.95,2.05,1.21,1.39,1.3,6.79,7.94,14.64,4.44,9.16,0.0,4.12,0.0,0.0,6.76,12.3,12.62,0.73,18.77,1.02,2.92,1.03,16.83,6.13,3.86,3.69,14.03,6.022580645161289
RMSD,method7,AD4_CHEMPLP,6.03,15.08,5.69,1.49,1.9,1.03,3.03,0.84,0.43,5.23,11.47,4.18,6.35,11.85,0.0,6.47,0.0,0.0,4.73,17.57,11.14,0.73,22.29,0.0,6.82,1.71,19.89,0.0,4.83,4.92,16.04,6.18516129032258
RMSD,method1,AD4_LinF9,7.67,8.61,5.06,1.49,3.58,2.05,3.03,1.39,9.08,4.96,16.76,10.46,3.17,3.77,0.0,2.35,0.0,0.0,10.14,17.57,17.07,0.73,12.9,0.0,4.87,2.74,15.3,0.88,4.83,1.85,10.02,5.881612903225808
RMSD,method2,AD4_LinF9,11.51,10.05,3.16,3.72,4.22,1.54,2.12,1.12,4.76,3.66,15.0,6.27,1.9,4.85,0.0,2.35,0.0,0.0,18.26,17.57,18.56,1.45,17.59,0.0,6.82,4.11,17.6,2.63,3.86,5.54,10.02,6.459354838709678
RMSD,method3,AD4_LinF9,11.51,6.82,1.9,5.21,4.64,0.51,3.34,1.12,3.89,3.14,10.58,6.27,1.9,3.77,0.0,4.71,0.0,0.0,17.58,17.57,17.07,1.45,15.84,0.0,8.77,3.77,14.54,1.75,7.72,2.46,8.02,5.9951612903225815
RMSD,method4,AD4_LinF9,11.51,6.46,1.9,5.95,4.64,0.51,3.34,1.12,3.89,3.14,11.47,6.27,1.9,3.77,0.0,5.3,0.0,0.0,17.58,15.81,17.07,1.45,16.42,0.0,8.77,3.77,15.3,1.75,9.66,2.46,8.02,6.104193548387098
RMSD,method5,AD4_LinF9,12.06,8.61,2.53,3.35,4.85,2.05,3.03,1.12,2.59,3.66,14.11,6.27,1.27,3.77,0.0,1.77,0.0,0.0,20.96,15.81,17.07,0.73,17.59,0.0,7.79,3.42,17.6,1.75,3.86,2.46,10.02,6.132258064516129
RMSD,method6,AD4_LinF9,4.93,8.26,5.69,1.86,3.58,2.05,3.34,1.39,8.65,6.01,15.88,10.46,3.81,5.39,0.0,1.77,0.0,0.0,12.17,24.6,19.3,0.73,7.62,0.0,4.87,4.11,13.77,1.75,3.86,1.85,9.02,6.023225806451615
RMSD,method7,AD4_LinF9,12.06,9.69,3.16,4.09,5.06,1.03,2.73,1.12,4.76,4.7,13.23,8.36,1.9,3.77,0.0,2.94,0.0,0.0,19.61,22.84,19.3,1.45,14.08,0.0,6.82,3.77,18.36,2.63,4.83,3.69,10.02,6.645161290322581
RMSD,method1,AD4_RTMScore,18.09,12.56,5.69,2.23,10.33,3.59,0.91,0.84,11.24,12.02,29.11,6.27,6.35,5.93,3.57,14.12,0.0,0.0,22.99,1.76,26.72,1.45,11.73,1.02,19.49,5.48,25.25,5.26,6.76,9.23,19.04,9.646129032258065
RMSD,method2,AD4_RTMScore,15.9,14.36,3.16,2.97,8.43,2.05,1.82,1.39,6.92,7.05,29.11,8.36,6.98,5.93,0.0,11.77,0.0,0.0,22.31,3.51,25.24,0.0,19.35,1.02,7.79,5.82,26.01,3.51,5.79,9.84,25.06,9.079032258064514
RMSD,method3,AD4_RTMScore,8.22,5.38,3.16,1.86,4.22,1.03,2.43,1.67,5.19,3.66,10.58,10.46,3.17,2.69,0.0,15.3,0.0,0.0,12.85,1.76,17.82,0.73,11.14,0.0,0.97,4.79,19.13,2.63,5.79,4.31,16.04,5.709032258064516
RMSD,method4,AD4_RTMScore,4.93,4.31,2.53,1.49,4.43,1.03,2.12,2.51,4.32,3.66,10.58,10.46,3.17,2.69,0.0,15.3,0.0,0.0,13.52,1.76,18.56,0.73,10.56,0.0,1.95,4.79,19.13,2.63,5.79,3.08,17.04,5.582903225806452
RMSD,method5,AD4_RTMScore,15.9,10.41,2.53,2.6,7.8,2.05,1.82,1.39,6.49,5.75,28.23,10.46,5.71,4.31,0.0,9.41,1.14,0.0,19.61,1.76,25.24,0.0,15.84,0.0,8.77,5.14,26.01,3.51,4.83,6.77,25.06,8.339999999999998
RMSD,method6,AD4_RTMScore,24.12,13.64,5.06,3.35,23.18,4.1,0.3,1.12,12.11,20.12,50.28,2.09,8.89,9.7,7.13,18.24,18.27,0.0,22.99,3.51,40.09,1.45,8.21,1.02,30.2,7.53,26.01,4.38,4.83,19.69,32.08,13.667419354838708
RMSD,method7,AD4_RTMScore,16.44,10.41,3.16,2.97,16.44,1.54,1.52,1.67,9.51,6.01,32.64,6.27,5.08,4.85,0.0,15.89,4.57,0.0,22.99,0.0,32.66,1.45,9.97,0.0,7.79,6.85,25.25,5.26,4.83,9.84,29.07,9.513870967741934
RMSD,method1,AD4_SCORCH,10.41,10.41,0.63,3.35,7.59,3.59,9.4,1.39,16.0,5.49,21.17,4.18,1.27,3.23,3.57,0.59,0.0,3.25,7.44,3.51,14.85,2.91,15.84,4.08,11.69,3.08,23.72,5.26,19.31,9.84,6.01,7.518064516129033
RMSD,method2,AD4_SCORCH,8.22,7.54,1.26,4.09,5.69,1.54,7.89,1.67,10.81,5.75,19.41,0.0,4.44,4.85,0.0,1.18,0.0,3.25,5.41,7.03,11.14,0.73,17.59,6.11,5.85,2.74,22.19,0.88,15.45,11.69,8.02,6.529677419354839
RMSD,method3,AD4_SCORCH,6.58,6.46,0.63,3.35,5.06,0.51,7.58,1.67,6.49,5.49,10.58,0.0,2.54,2.69,0.0,4.71,0.0,3.25,6.09,5.27,11.88,0.73,14.66,5.09,3.9,2.4,18.36,0.0,16.41,9.23,6.01,5.4070967741935485
RMSD,method4,AD4_SCORCH,6.03,14.0,0.0,2.6,6.74,0.51,11.83,3.07,7.35,2.61,10.58,0.0,1.9,4.31,0.0,4.71,0.0,2.17,2.7,3.51,13.36,1.45,19.35,1.02,4.87,3.08,19.13,2.63,19.31,6.77,5.01,5.825806451612903
